std_ymd,event_date,auth_id,user_pseudo_id,event_name,is_anonymous,learn_lang,learn_lang_cnt,lang_code,app_version,platform,platform_version,device_category,continent,country,event_timestamp,event_timestamp_w_timezone,week_cd,screen_class,previous_screen_class,use_time_msec,purchase_type,product,create_date
2023-09-26,20230926,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695719613440000 ,1695752013440000 ,97,Splash,MainActivity,4930,null,null,2023-10-08
2023-09-24,20230924,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695546851225000 ,1695579251225000 ,97,Player,Splash,null,null,null,2023-10-08
2023-09-26,20230926,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695719611381000 ,1695752011381000 ,97,MainActivity,null,2196,null,null,2023-10-08
2023-09-26,20230926,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,splash_visit,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695719613440000 ,1695752013440000 ,97,Splash,null,null,CAKE_COUPON,PLUS,2023-10-08
2023-09-24,20230924,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695546844331000 ,1695579244331000 ,97,MainActivity,null,2161,null,null,2023-10-08
2023-09-24,20230924,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,membership_user,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695546846211000 ,1695579246211000 ,97,Splash,null,null,CAKE_COUPON,PLUS,2023-10-08
2023-09-24,20230924,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,splash_visit,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695546846210000 ,1695579246210000 ,97,Splash,null,null,CAKE_COUPON,PLUS,2023-10-08
2023-09-26,20230926,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,user_engagement,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695719668743000 ,1695752068743000 ,97,Player,null,50371,null,null,2023-10-08
2023-09-24,20230924,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,user_engagement,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695546890254000 ,1695579290254000 ,97,Player,null,18691,null,null,2023-10-08
2023-09-26,20230926,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695719618370000 ,1695752018370000 ,97,Player,Splash,null,null,null,2023-10-08
2023-09-24,20230924,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695546846210000 ,1695579246210000 ,97,Splash,MainActivity,5016,null,null,2023-10-08
2023-09-24,20230924,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,user_engagement,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695546870342000 ,1695579270342000 ,97,Player,null,19114,null,null,2023-10-08
2023-09-26,20230926,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,membership_user,0,ko,1,en,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695719613440000 ,1695752013440000 ,97,Splash,null,null,CAKE_COUPON,PLUS,2023-10-08
