lang_code,timezone
ar,180
vi,480
zh,540
zh,600
zh,240
null,780
sp,-720
ar,765
en,240
ru,60
id,-540
en,330
pt,-150
it,-300
ru,-270
ms,-600
sp,-600
ko,-60
uz,540
ru,660
fr,-120
zh,210
null,-420
hi,-240
hi,660
null,840
fr,525
en,-240
ko,-240
ar,630
ar,-150
zh,-210
null,240
id,-300
ms,300
null,390
es,60
pt,-240
ja,-480
null,-360
es,-180
en,780
sp,660
ar,300
zh,-300
th,-300
ru,840
de,600
ja,510
es,-300
ar,420
it,390
de,780
en,-120
es,-720
tr,-150
ar,-60
hi,-480
hi,270
ar,840
es,0
es,-420
ru,480
cn,600
fr,-600
zh,360
pt,540
cn,330
tr,-720
pl,-300
cn,-210
es,-240
es,-540
ms,345
sp,-120
pl,210
tr,600
pl,390
en,825
id,600
id,-150
pl,480
hi,-270
it,-180
cn,-720
fr,300
ar,-720
ar,240
ar,210
tr,-180
cn,-360
es,210
pl,-180
pl,-120
ru,180
it,540
vi,240
ru,210
pt,390
zh,-540
cn,540
zh,660
de,360
sp,-300
ru,600
es,660
ja,-600
hi,600
it,-120
pl,840
ru,-660
cn,60
ko,180
zh,-180
id,345
pt,-540
hi,720
th,-60
hi,-540
uz,210
en,720
tr,-120
ko,660
id,-660
sp,-270
pl,240
pl,-480
null,180
ar,390
hi,300
es,-150
es,-480
es,240
vi,570
null,300
sp,-180
zh,330
tr,420
id,660
sp,-60
vi,-210
ja,-540
hi,240
cn,-420
sp,0
de,345
null,345
en,120
fr,-240
id,120
vi,-180
ja,630
pl,600
es,480
ms,420
ja,390
ru,270
zh,0
es,270
ja,540
zh,180
en,0
de,180
vi,360
ko,0
ko,360
th,570
hi,-360
ko,630
ru,120
en,-180
pt,720
id,-420
pl,-660
vi,-270
ja,480
pt,660
tr,345
null,630
cn,-660
fr,180
uz,330
ja,180
pt,-420
ja,330
en,-600
th,-360
th,210
fr,0
tr,-660
ms,630
null,660
th,390
zh,390
fr,-540
null,-120
ja,420
tr,630
pl,0
id,480
fr,480
ru,-720
pl,660
ms,570
ar,-600
ms,360
hi,480
cn,-150
tr,-60
vi,420
de,420
hi,-120
pl,-360
ja,-210
th,60
cn,420
it,360
sp,480
cn,360
zh,570
sp,-660
id,180
tr,660
cn,570
ko,780
es,825
vi,540
en,630
pt,-480
hi,-180
vi,-540
hi,630
it,780
ru,-240
cn,270
es,360
hi,360
null,0
hi,390
pt,780
th,360
zh,825
fr,-660
pt,-570
fr,-60
hi,180
ko,210
ms,-60
id,60
de,60
