,,std_ymd,event_date,auth_id,user_pseudo_id,event_name,is_anonymous,learn_lang,learn_lang_cnt,lang_code,app_version,platform,platform_version,device_category,continent,country,event_timestamp,event_timestamp_w_timezone,,week_cd,screen_class,previous_screen_class,errors: 0,use_time_msec,,purchase_type,product,create_date
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,first_open,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695016554731000 ,1695048954731000 ,0,96,null,null,2023-09-18 14:55:54.731,1,0.001,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695016555980000 ,1695048955980000 ,0,96,MainActivity,null,2023-09-18 14:55:55.980,4852,4.852,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695016560319000 ,1695048960319000 ,0,96,Splash,MainActivity,2023-09-18 14:56:00.319,99,0.099,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,splash_visit,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695016560319000 ,1695048960319000 ,0,96,Splash,null,2023-09-18 14:56:00.319,null,null,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695016560418000 ,1695048960418000 ,0,96,OnboardingFirst,Splash,2023-09-18 14:56:00.418,4750,4.75,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695016565168000 ,1695048965168000 ,0,96,OnboardingLanguageSetting,OnboardingFirst,2023-09-18 14:56:05.168,6754,6.754,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695016571921010 ,1695048971921010 ,10,96,OnboardingKoreanOptions,OnboardingLanguageSetting,2023-09-18 14:56:11.921,4357,4.357,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,user_engagement,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695016712504000 ,1695049112504000 ,0,96,OnboardingKoreanOptions,null,2023-09-18 14:58:32.504,1298,1.298,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695018260156000 ,1695050660156000 ,0,96,HomeTab,OnboardingKoreanOptions,2023-09-18 15:24:20.156,3142,3.142,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695018263298000 ,1695050663298000 ,0,96,MyTab,HomeTab,2023-09-18 15:24:23.298,10846,10.846,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,user_engagement,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695018272515000 ,1695050672515000 ,0,96,MyTab,null,2023-09-18 15:24:32.515,9214,9.214,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695018297315000 ,1695050697315000 ,0,96,SignInHubActivity,MyTab,2023-09-18 15:24:57.315,null,null,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695018299041000 ,1695050699041000 ,0,96,MainActivity,SignInHubActivity,2023-09-18 15:24:59.041,346,0.346,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,user_engagement,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695018316455000 ,1695050716455000 ,0,96,MainActivity,null,2023-09-18 15:25:16.455,17415,17.415,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695018318911000 ,1695050718911000 ,0,96,Coupon,MainActivity,2023-09-18 15:25:18.911,null,null,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,user_engagement,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695018321010000 ,1695050721010000 ,0,96,Coupon,null,2023-09-18 15:25:21.010,2098,2.098,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022376506000 ,1695054776506000 ,0,96,MainActivity,null,2023-09-18 16:32:56.506,1644,1.644,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,splash_visit,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022378119000 ,1695054778119000 ,0,96,Splash,null,2023-09-18 16:32:58.119,null,null,CAKE_COUPON,PLUS,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022378119000 ,1695054778119000 ,0,96,Splash,MainActivity,2023-09-18 16:32:58.119,74,0.074,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022378193000 ,1695054778193000 ,0,96,HomeTab,Splash,2023-09-18 16:32:58.193,85,0.085,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022378276000 ,1695054778276000 ,0,96,Coupon,HomeTab,2023-09-18 16:32:58.276,null,null,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,user_engagement,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022388677000 ,1695054788677000 ,0,96,Coupon,null,2023-09-18 16:33:08.677,10398,10.398,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022389500000 ,1695054789500000 ,0,96,MainActivity,null,2023-09-18 16:33:09.500,961,0.961,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,splash_visit,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022390309000 ,1695054790309000 ,0,96,Splash,null,2023-09-18 16:33:10.309,null,null,CAKE_COUPON,PLUS,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022390309000 ,1695054790309000 ,0,96,Splash,MainActivity,2023-09-18 16:33:10.309,286,0.286,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,membership_user,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022390309000 ,1695054790309000 ,0,96,Splash,null,2023-09-18 16:33:10.309,null,null,CAKE_COUPON,PLUS,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022390595000 ,1695054790595000 ,0,96,HomeTab,Splash,2023-09-18 16:33:10.595,4130,4.13,null,null,2023-10-01
