auth_id,event_name,previous_screen_class,screen_class,use_time_msec,event_timestamp_w_timezone,fomatted_event_timestamp_w_timezone
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,null,UIViewController,null,1695166831577000,2023-09-19 23:40:31.576999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,UIViewController,null,1695166831681000,2023-09-19 23:40:31.680999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,Splash,null,1695166833109000,2023-09-19 23:40:33.108999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Splash,OnboardingFirst,null,1695166833125000,2023-09-19 23:40:33.124999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,OnboardingFirst,OnboardingLanguageSetting,null,1695166836906000,2023-09-19 23:40:36.905999872
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null,1695166847610000,2023-09-19 23:40:47.609999872
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,OnboardingKoreanOptions,HomeTab,null,1695166867668000,2023-09-19 23:41:07.668000000
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,MyTab,null,1695166872134010,2023-09-19 23:41:12.134010112
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,RCTModalHostViewController,null,1695166874161010,2023-09-19 23:41:14.161009920
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,null,1695166894839000,2023-09-19 23:41:34.839000064
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,Coupon,null,1695166943739000,2023-09-19 23:42:23.739000064
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Coupon,Splash,null,1695166977390000,2023-09-19 23:42:57.390000128
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Splash,HomeTab,null,1695166977432000,2023-09-19 23:42:57.432000000
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,ReviewTab,null,1695166980418000,2023-09-19 23:43:00.417999872
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,ReviewTab,MyTab,null,1695166981045000,2023-09-19 23:43:01.044999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,MyTabSetting,null,1695166984449000,2023-09-19 23:43:04.448999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTabSetting,MyTab,null,1695166987332000,2023-09-19 23:43:07.332000000
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,MyTabSetting,null,1695166990343000,2023-09-19 23:43:10.343000064
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTabSetting,MyAccountChange,null,1695166998479000,2023-09-19 23:43:18.479000064
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyAccountChange,MyTabSetting,null,1695167218899000,2023-09-19 23:46:58.899000064
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTabSetting,MyTab,null,1695167269005000,2023-09-19 23:47:49.004999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,PlusOnlyTab,null,1695167270541000,2023-09-19 23:47:50.540999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PlusOnlyTab,ReviewTab,null,1695167271933000,2023-09-19 23:47:51.932999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,ReviewTab,PathTab,null,1695167273156000,2023-09-19 23:47:53.156000000
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PathTab,HomeTab,null,1695167273955010,2023-09-19 23:47:53.955010048
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,MyTab,null,1695167276513010,2023-09-19 23:47:56.513009920
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,MyTabSetting,null,1695167281059010,2023-09-19 23:48:01.059010048
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,null,UIViewController,null,1695168497385000,2023-09-20 00:08:17.384999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,UIViewController,null,1695168497421000,2023-09-20 00:08:17.420999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,Splash,null,1695168497888000,2023-09-20 00:08:17.888000000
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Splash,HomeTab,null,1695168497927000,2023-09-20 00:08:17.927000064
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,RCTModalHostViewController,null,1695168498463000,2023-09-20 00:08:18.463000064
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,null,1695168500057000,2023-09-20 00:08:20.056999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,MyTab,null,1695168500616010,2023-09-20 00:08:20.616009984
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,MyTabSetting,null,1695168501700010,2023-09-20 00:08:21.700009984
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTabSetting,MyTab,null,1695168545975000,2023-09-20 00:09:05.975000064
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,ReviewTab,null,1695168546410000,2023-09-20 00:09:06.409999872
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,ReviewTab,PlusOnlyTab,null,1695168558308000,2023-09-20 00:09:18.308000000
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PlusOnlyTab,PathTab,null,1695168560790000,2023-09-20 00:09:20.790000128
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PathTab,HomeTab,null,1695168561774010,2023-09-20 00:09:21.774010112
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,PathTab,null,1695168562472010,2023-09-20 00:09:22.472009984
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PathTab,HomeTab,null,1695168562853010,2023-09-20 00:09:22.853009920
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,null,UIViewController,null,1695213309795000,2023-09-20 12:35:09.795000064
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,UIViewController,null,1695213309827000,2023-09-20 12:35:09.827000064
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,Splash,null,1695213310478000,2023-09-20 12:35:10.478000128
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Splash,HomeTab,null,1695213310528000,2023-09-20 12:35:10.528000000
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,RCTModalHostViewController,null,1695213311129000,2023-09-20 12:35:11.128999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,null,1695213313133010,2023-09-20 12:35:13.133009920
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,CollectionQuiz,null,1695213314744000,2023-09-20 12:35:14.744000000
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,CollectionQuiz,HomeTab,null,1695213388916000,2023-09-20 12:36:28.916000000
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,ReviewTab,null,1695213390956000,2023-09-20 12:36:30.956000000
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,ReviewTab,RCTModalHostViewController,null,1695213393229000,2023-09-20 12:36:33.228999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,null,1695213396193010,2023-09-20 12:36:36.193009920
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,MyTab,null,1695213397860010,2023-09-20 12:36:37.860009984
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,ReviewTab,null,1695213406197010,2023-09-20 12:36:46.197009920
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,ReviewTab,PlusOnlyTab,null,1695213406761010,2023-09-20 12:36:46.761009920
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PlusOnlyTab,SpeakCourse,null,1695213417444020,2023-09-20 12:36:57.444019968
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,SpeakCourse,SpeakLecturePlayer,null,1695213422829020,2023-09-20 12:37:02.829019904
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,SpeakLecturePlayer,SpeakCourse,null,1695213481609030,2023-09-20 12:38:01.609030144
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,SpeakCourse,Player,null,1695213481858030,2023-09-20 12:38:01.858030080
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Player,RCTModalHostViewController,null,1695213506105000,2023-09-20 12:38:26.104999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,null,1695213508732000,2023-09-20 12:38:28.732000000
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,RCTModalHostViewController,null,1695213545176000,2023-09-20 12:39:05.176000000
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,null,1695213547133010,2023-09-20 12:39:07.133009920
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,RCTModalHostViewController,null,1695213556625010,2023-09-20 12:39:16.625009920
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,null,1695213558651010,2023-09-20 12:39:18.651010048
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,CurriculumDetail,null,1695213624149020,2023-09-20 12:40:24.149019904
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,CurriculumDetail,RCTModalHostViewController,null,1695213624468020,2023-09-20 12:40:24.468019968
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,null,1695213624703020,2023-09-20 12:40:24.703020032
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,Player,null,1695213643695030,2023-09-20 12:40:43.695030016
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,null,UIViewController,null,1695213672138000,2023-09-20 12:41:12.137999872
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,UIViewController,null,1695213672218000,2023-09-20 12:41:12.217999872
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,Splash,null,1695213673077000,2023-09-20 12:41:13.076999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Splash,HomeTab,null,1695213673117000,2023-09-20 12:41:13.116999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,RCTModalHostViewController,null,1695213673574000,2023-09-20 12:41:13.574000128
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,null,1695213674637000,2023-09-20 12:41:14.636999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,ReviewTab,null,1695213675262010,2023-09-20 12:41:15.262010112
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,ReviewTab,RCTModalHostViewController,null,1695213675627010,2023-09-20 12:41:15.627010048
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,null,1695213679451010,2023-09-20 12:41:19.451010048
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,MyTab,null,1695213681213020,2023-09-20 12:41:21.213019904
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,StreakResult,null,1695213681992020,2023-09-20 12:41:21.992019968
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,StreakResult,MyTab,null,1695213694747020,2023-09-20 12:41:34.747020032
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,MyTabSetting,null,1695213696357020,2023-09-20 12:41:36.357019904
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTabSetting,MyTab,null,1695213699564020,2023-09-20 12:41:39.564019968
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,PlusOnlyTab,null,1695213700652030,2023-09-20 12:41:40.652029952
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PlusOnlyTab,PathTab,null,1695213703428030,2023-09-20 12:41:43.428029952
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PathTab,SnackPlayer,null,1695213707297030,2023-09-20 12:41:47.297030144
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,SnackPlayer,PathTab,null,1695213724531040,2023-09-20 12:42:04.531040000
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PathTab,RCTModalHostViewController,null,1695213724561040,2023-09-20 12:42:04.561040128
