auth_id,event_name,previous_screen_class,screen_class,use_time_msec,event_timestamp_w_timezone,fomatted_event_timestamp_w_timezone
ECvuummcQA-4GskntiAHtQ,screen_view,null,UIViewController,null,1695044841369000,2023-09-18 13:47:21.368999936
ECvuummcQA-4GskntiAHtQ,screen_view,UIViewController,UIViewController,null,1695044841390000,2023-09-18 13:47:21.390000128
ECvuummcQA-4GskntiAHtQ,screen_view,UIViewController,RCTModalHostViewController,null,1695044842765000,2023-09-18 13:47:22.764999936
ECvuummcQA-4GskntiAHtQ,screen_view,RCTModalHostViewController,UIViewController,null,1695044844797000,2023-09-18 13:47:24.796999936
ECvuummcQA-4GskntiAHtQ,screen_view,null,UIViewController,null,1695044846104000,2023-09-18 13:47:26.104000000
ECvuummcQA-4GskntiAHtQ,screen_view,UIViewController,UIViewController,null,1695044846113000,2023-09-18 13:47:26.112999936
ECvuummcQA-4GskntiAHtQ,screen_view,UIViewController,Splash,null,1695044847705000,2023-09-18 13:47:27.704999936
ECvuummcQA-4GskntiAHtQ,screen_view,Splash,OnboardingFirst,null,1695044847714000,2023-09-18 13:47:27.713999872
ECvuummcQA-4GskntiAHtQ,screen_view,OnboardingFirst,OnboardingLanguageSetting,null,1695044850443000,2023-09-18 13:47:30.443000064
ECvuummcQA-4GskntiAHtQ,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null,1695044859269000,2023-09-18 13:47:39.268999936
ECvuummcQA-4GskntiAHtQ,screen_view,OnboardingKoreanOptions,HomeTab,null,1695044870541000,2023-09-18 13:47:50.540999936
ECvuummcQA-4GskntiAHtQ,screen_view,HomeTab,RCTModalHostViewController,null,1695044877915000,2023-09-18 13:47:57.915000064
ECvuummcQA-4GskntiAHtQ,screen_view,RCTModalHostViewController,UIViewController,null,1695044879816000,2023-09-18 13:47:59.816000000
ECvuummcQA-4GskntiAHtQ,screen_view,UIViewController,RCTModalHostViewController,null,1695044879941000,2023-09-18 13:47:59.940999936
ECvuummcQA-4GskntiAHtQ,screen_view,RCTModalHostViewController,SFAuthenticationViewController,null,1695044885339000,2023-09-18 13:48:05.339000064
ECvuummcQA-4GskntiAHtQ,screen_view,SFAuthenticationViewController,RCTModalHostViewController,null,1695044889881000,2023-09-18 13:48:09.880999936
ECvuummcQA-4GskntiAHtQ,screen_view,RCTModalHostViewController,Coupon,null,1695044890440000,2023-09-18 13:48:10.440000000
ECvuummcQA-4GskntiAHtQ,screen_view,Coupon,UIViewController,null,1695044890498000,2023-09-18 13:48:10.497999872
ECvuummcQA-4GskntiAHtQ,screen_view,UIViewController,RCTModalHostViewController,null,1695044890801000,2023-09-18 13:48:10.800999936
ECvuummcQA-4GskntiAHtQ,screen_view,RCTModalHostViewController,UIViewController,null,1695044904791000,2023-09-18 13:48:24.791000064
ECvuummcQA-4GskntiAHtQ,screen_view,UIViewController,Splash,null,1695049640419000,2023-09-18 15:07:20.419000064
ECvuummcQA-4GskntiAHtQ,screen_view,Splash,HomeTab,null,1695049640428000,2023-09-18 15:07:20.428000000
ECvuummcQA-4GskntiAHtQ,screen_view,null,UIViewController,null,1695052874340000,2023-09-18 16:01:14.340000000
ECvuummcQA-4GskntiAHtQ,screen_view,UIViewController,UIViewController,null,1695052874356000,2023-09-18 16:01:14.356000000
ECvuummcQA-4GskntiAHtQ,screen_view,UIViewController,Splash,null,1695052874575000,2023-09-18 16:01:14.575000064
ECvuummcQA-4GskntiAHtQ,screen_view,Splash,HomeTab,null,1695052874602000,2023-09-18 16:01:14.601999872
ECvuummcQA-4GskntiAHtQ,screen_view,HomeTab,RCTModalHostViewController,null,1695052875492000,2023-09-18 16:01:15.492000000
ECvuummcQA-4GskntiAHtQ,screen_view,RCTModalHostViewController,UIViewController,null,1695052894858000,2023-09-18 16:01:34.857999872
ECvuummcQA-4GskntiAHtQ,screen_view,UIViewController,Splash,null,1695052899665000,2023-09-18 16:01:39.664999936
ECvuummcQA-4GskntiAHtQ,screen_view,Splash,HomeTab,null,1695052899681000,2023-09-18 16:01:39.680999936
ECvuummcQA-4GskntiAHtQ,screen_view,null,UIViewController,null,1695681320324000,2023-09-25 22:35:20.324000000
ECvuummcQA-4GskntiAHtQ,screen_view,UIViewController,UIViewController,null,1695681320336000,2023-09-25 22:35:20.336000000
ECvuummcQA-4GskntiAHtQ,screen_view,UIViewController,Splash,null,1695681321429000,2023-09-25 22:35:21.428999936
ECvuummcQA-4GskntiAHtQ,screen_view,Splash,HomeTab,null,1695681321447000,2023-09-25 22:35:21.447000064
ECvuummcQA-4GskntiAHtQ,screen_view,HomeTab,RCTModalHostViewController,null,1695681321889000,2023-09-25 22:35:21.888999936
ECvuummcQA-4GskntiAHtQ,screen_view,RCTModalHostViewController,UIViewController,null,1695681325111010,2023-09-25 22:35:25.111010048
ECvuummcQA-4GskntiAHtQ,screen_view,UIViewController,MyTab,null,1695681325561010,2023-09-25 22:35:25.561009920
ECvuummcQA-4GskntiAHtQ,screen_view,MyTab,MyTabSetting,null,1695681328101010,2023-09-25 22:35:28.101009920
ECvuummcQA-4GskntiAHtQ,screen_view,MyTabSetting,MyAccountChange,null,1695681331366010,2023-09-25 22:35:31.366010112
