auth_id,event_name,previous_screen_class,screen_class,use_time_msec,event_timestamp_w_timezone,fomatted_event_timestamp_w_timezone
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,null,UIViewController,null,1695067020304000,2023-09-18 19:57:00.304000000
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,UIViewController,UIViewController,null,1695067020369000,2023-09-18 19:57:00.368999936
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,UIViewController,Splash,null,1695067022541000,2023-09-18 19:57:02.540999936
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,Splash,OnboardingFirst,null,1695067022552000,2023-09-18 19:57:02.552000000
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,OnboardingFirst,OnboardingLanguageSetting,null,1695067026234000,2023-09-18 19:57:06.233999872
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null,1695067031370000,2023-09-18 19:57:11.369999872
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,OnboardingKoreanOptions,HomeTab,null,1695067039433000,2023-09-18 19:57:19.432999936
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,HomeTab,MyTab,null,1695067061468010,2023-09-18 19:57:41.468009984
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,MyTab,PlusOnlyTab,null,1695067062191020,2023-09-18 19:57:42.191020032
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,PlusOnlyTab,CurriculumDetail,null,1695067073189020,2023-09-18 19:57:53.189019904
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,CurriculumDetail,PlusOnlyTab,null,1695067086929020,2023-09-18 19:58:06.929019904
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,PlusOnlyTab,CurriculumDetail,null,1695067100015030,2023-09-18 19:58:20.015030016
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,CurriculumDetail,PlusOnlyTab,null,1695067104315030,2023-09-18 19:58:24.315030016
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,PlusOnlyTab,SpeakCourse,null,1695067111972030,2023-09-18 19:58:31.972029952
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,SpeakCourse,PlusOnlyTab,null,1695067116937040,2023-09-18 19:58:36.937040128
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,PlusOnlyTab,SpeakCourse,null,1695067117770040,2023-09-18 19:58:37.770040064
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,SpeakCourse,PlusOnlyTab,null,1695067124540000,2023-09-18 19:58:44.540000000
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,PlusOnlyTab,MyTab,null,1695067131276000,2023-09-18 19:58:51.276000000
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,MyTab,HomeTab,null,1695067133935000,2023-09-18 19:58:53.935000064
VrVBdpn5QWOhPYOMZYjqBQ,screen_view,HomeTab,MyTab,null,1695067142099010,2023-09-18 19:59:02.099010048
