auth_id,event_name,previous_screen_class,screen_class,use_time_msec,event_timestamp_w_timezone,fomatted_event_timestamp_w_timezone
W1_cjyfLSEqpecix7LdImQ,screen_view,null,UIViewController,null,1695049910876000,2023-09-18 15:11:50.876000000
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,UIViewController,null,1695049910900000,2023-09-18 15:11:50.900000000
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,Splash,null,1695049912489000,2023-09-18 15:11:52.488999936
W1_cjyfLSEqpecix7LdImQ,screen_view,Splash,OnboardingFirst,null,1695049912495000,2023-09-18 15:11:52.495000064
W1_cjyfLSEqpecix7LdImQ,screen_view,OnboardingFirst,OnboardingLanguageSetting,null,1695049916584000,2023-09-18 15:11:56.584000000
W1_cjyfLSEqpecix7LdImQ,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null,1695049926491000,2023-09-18 15:12:06.491000064
W1_cjyfLSEqpecix7LdImQ,screen_view,OnboardingKoreanOptions,HomeTab,null,1695049938522000,2023-09-18 15:12:18.521999872
W1_cjyfLSEqpecix7LdImQ,screen_view,HomeTab,MyTab,null,1695049945955010,2023-09-18 15:12:25.955010048
W1_cjyfLSEqpecix7LdImQ,screen_view,MyTab,ReviewTab,null,1695049946710010,2023-09-18 15:12:26.710010112
W1_cjyfLSEqpecix7LdImQ,screen_view,ReviewTab,PlusOnlyTab,null,1695049947581010,2023-09-18 15:12:27.581009920
W1_cjyfLSEqpecix7LdImQ,screen_view,PlusOnlyTab,PathTab,null,1695049947920010,2023-09-18 15:12:27.920009984
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,HomeTab,null,1695049948328020,2023-09-18 15:12:28.328019968
W1_cjyfLSEqpecix7LdImQ,screen_view,HomeTab,MyTab,null,1695049949022020,2023-09-18 15:12:29.022020096
W1_cjyfLSEqpecix7LdImQ,screen_view,MyTab,RCTModalHostViewController,null,1695049950455020,2023-09-18 15:12:30.455020032
W1_cjyfLSEqpecix7LdImQ,screen_view,RCTModalHostViewController,UIViewController,null,1695050011392000,2023-09-18 15:13:31.392000000
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,RCTModalHostViewController,null,1695050014062000,2023-09-18 15:13:34.062000128
W1_cjyfLSEqpecix7LdImQ,screen_view,RCTModalHostViewController,UIViewController,null,1695050016626000,2023-09-18 15:13:36.625999872
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,MyTabSetting,null,1695050016992000,2023-09-18 15:13:36.992000000
W1_cjyfLSEqpecix7LdImQ,screen_view,MyTabSetting,MyNameChange,null,1695050019291010,2023-09-18 15:13:39.291010048
W1_cjyfLSEqpecix7LdImQ,screen_view,MyNameChange,MyTabSetting,null,1695050025073010,2023-09-18 15:13:45.073009920
W1_cjyfLSEqpecix7LdImQ,screen_view,MyTabSetting,MyAccountChange,null,1695050027419010,2023-09-18 15:13:47.419010048
W1_cjyfLSEqpecix7LdImQ,screen_view,MyAccountChange,Splash,null,1695052111248000,2023-09-18 15:48:31.248000000
W1_cjyfLSEqpecix7LdImQ,screen_view,Splash,HomeTab,null,1695052111267000,2023-09-18 15:48:31.267000064
W1_cjyfLSEqpecix7LdImQ,screen_view,HomeTab,MyTab,null,1695052113360010,2023-09-18 15:48:33.360009984
W1_cjyfLSEqpecix7LdImQ,screen_view,MyTab,PathTab,null,1695052121194010,2023-09-18 15:48:41.194010112
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,SnackPlayer,null,1695054580882000,2023-09-18 16:29:40.881999872
W1_cjyfLSEqpecix7LdImQ,screen_view,SnackPlayer,PathTab,null,1695054598986000,2023-09-18 16:29:58.985999872
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,RCTModalHostViewController,null,1695054599024000,2023-09-18 16:29:59.024000000
W1_cjyfLSEqpecix7LdImQ,screen_view,RCTModalHostViewController,UIViewController,null,1695054602574010,2023-09-18 16:30:02.574010112
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,StreakResult,null,1695054609936010,2023-09-18 16:30:09.936009984
W1_cjyfLSEqpecix7LdImQ,screen_view,StreakResult,PathTab,null,1695054614200010,2023-09-18 16:30:14.200009984
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,CollectionQuiz,null,1695054615727020,2023-09-18 16:30:15.727020032
W1_cjyfLSEqpecix7LdImQ,screen_view,CollectionQuiz,PathTab,null,1695054642880000,2023-09-18 16:30:42.880000000
W1_cjyfLSEqpecix7LdImQ,screen_view,null,UIViewController,null,1695088430050000,2023-09-19 01:53:50.049999872
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,UIViewController,null,1695088430065000,2023-09-19 01:53:50.064999936
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,Splash,null,1695088430523000,2023-09-19 01:53:50.523000064
W1_cjyfLSEqpecix7LdImQ,screen_view,Splash,HomeTab,null,1695088430569000,2023-09-19 01:53:50.568999936
W1_cjyfLSEqpecix7LdImQ,screen_view,HomeTab,RCTModalHostViewController,null,1695088431207000,2023-09-19 01:53:51.207000064
W1_cjyfLSEqpecix7LdImQ,screen_view,RCTModalHostViewController,UIViewController,null,1695088435472010,2023-09-19 01:53:55.472009984
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,PathTab,null,1695088437588010,2023-09-19 01:53:57.588009984
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,PathTabPlayer,null,1695088442414010,2023-09-19 01:54:02.414010112
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTabPlayer,PathTab,null,1695088553785020,2023-09-19 01:55:53.785019904
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,PathTabPlayer,null,1695088555845020,2023-09-19 01:55:55.845019904
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTabPlayer,PathTab,null,1695088625879000,2023-09-19 01:57:05.879000064
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,RCTModalHostViewController,null,1695088625922000,2023-09-19 01:57:05.921999872
W1_cjyfLSEqpecix7LdImQ,screen_view,RCTModalHostViewController,UIViewController,null,1695088627869010,2023-09-19 01:57:07.869009920
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,CollectionQuiz,null,1695088629925010,2023-09-19 01:57:09.925009920
W1_cjyfLSEqpecix7LdImQ,screen_view,CollectionQuiz,PathTab,null,1695088695860000,2023-09-19 01:58:15.860000000
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,RCTModalHostViewController,null,1695088700184000,2023-09-19 01:58:20.184000000
W1_cjyfLSEqpecix7LdImQ,screen_view,RCTModalHostViewController,UIViewController,null,1695088704007000,2023-09-19 01:58:24.007000064
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,SnackPlayer,null,1695088713343010,2023-09-19 01:58:33.343010048
W1_cjyfLSEqpecix7LdImQ,screen_view,SnackPlayer,PathTab,null,1695088748840010,2023-09-19 01:59:08.840009984
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,CollectionQuiz,null,1695088752743020,2023-09-19 01:59:12.743020032
W1_cjyfLSEqpecix7LdImQ,screen_view,CollectionQuiz,PathTab,null,1695088799476000,2023-09-19 01:59:59.476000000
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,RCTModalHostViewController,null,1695088799834000,2023-09-19 01:59:59.833999872
W1_cjyfLSEqpecix7LdImQ,screen_view,RCTModalHostViewController,UIViewController,null,1695088803911000,2023-09-19 02:00:03.911000064
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,MyTab,null,1695088806440000,2023-09-19 02:00:06.440000000
W1_cjyfLSEqpecix7LdImQ,screen_view,MyTab,RCTModalHostViewController,null,1695088806994000,2023-09-19 02:00:06.993999872
W1_cjyfLSEqpecix7LdImQ,screen_view,RCTModalHostViewController,UIViewController,null,1695088815258000,2023-09-19 02:00:15.257999872
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,BadgeList,null,1695088826263000,2023-09-19 02:00:26.263000064
W1_cjyfLSEqpecix7LdImQ,screen_view,BadgeList,MyTab,null,1695088841177010,2023-09-19 02:00:41.177009920
W1_cjyfLSEqpecix7LdImQ,screen_view,MyTab,HomeTab,null,1695088843991010,2023-09-19 02:00:43.991010048
W1_cjyfLSEqpecix7LdImQ,screen_view,null,UIViewController,null,1695165076454000,2023-09-19 23:11:16.454000128
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,UIViewController,null,1695165076468000,2023-09-19 23:11:16.468000000
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,Splash,null,1695165076938000,2023-09-19 23:11:16.937999872
W1_cjyfLSEqpecix7LdImQ,screen_view,Splash,HomeTab,null,1695165076996000,2023-09-19 23:11:16.996000000
W1_cjyfLSEqpecix7LdImQ,screen_view,HomeTab,PathTab,null,1695165079487000,2023-09-19 23:11:19.487000064
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,PathTabPlayer,null,1695165083113010,2023-09-19 23:11:23.113009920
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTabPlayer,PathTab,null,1695165205456010,2023-09-19 23:13:25.456009984
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,StreakResult,null,1695165207473010,2023-09-19 23:13:27.473009920
W1_cjyfLSEqpecix7LdImQ,screen_view,StreakResult,PathTab,null,1695165215513010,2023-09-19 23:13:35.513009920
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,PathTabPlayer,null,1695165217784020,2023-09-19 23:13:37.784019968
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTabPlayer,PathTab,null,1695165390715000,2023-09-19 23:16:30.715000064
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,CollectionQuiz,null,1695165394449010,2023-09-19 23:16:34.449009920
W1_cjyfLSEqpecix7LdImQ,screen_view,CollectionQuiz,PathTab,null,1695165455407000,2023-09-19 23:17:35.407000064
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,CollectionQuiz,null,1695165461568000,2023-09-19 23:17:41.568000000
W1_cjyfLSEqpecix7LdImQ,screen_view,CollectionQuiz,PathTab,null,1695165537869000,2023-09-19 23:18:57.868999936
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,CollectionQuiz,null,1695165542434000,2023-09-19 23:19:02.433999872
W1_cjyfLSEqpecix7LdImQ,screen_view,CollectionQuiz,PathTab,null,1695165601642000,2023-09-19 23:20:01.641999872
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,StreakResult,null,1695165602720000,2023-09-19 23:20:02.720000000
W1_cjyfLSEqpecix7LdImQ,screen_view,StreakResult,StreakSetting,null,1695165607480000,2023-09-19 23:20:07.480000000
W1_cjyfLSEqpecix7LdImQ,screen_view,StreakSetting,StreakResult,null,1695165609427010,2023-09-19 23:20:09.427010048
W1_cjyfLSEqpecix7LdImQ,screen_view,StreakResult,PathTab,null,1695165618411010,2023-09-19 23:20:18.411010048
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,SnackPlayer,null,1695165622640010,2023-09-19 23:20:22.640009984
W1_cjyfLSEqpecix7LdImQ,screen_view,SnackPlayer,PathTab,null,1695165651136020,2023-09-19 23:20:51.136019968
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,CollectionQuiz,null,1695165656956020,2023-09-19 23:20:56.956019968
W1_cjyfLSEqpecix7LdImQ,screen_view,CollectionQuiz,PathTab,null,1695165689184000,2023-09-19 23:21:29.184000000
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,PathTabPlayer,null,1695165694920000,2023-09-19 23:21:34.920000000
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTabPlayer,PathTab,null,1695165770071000,2023-09-19 23:22:50.071000064
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,PathTabPlayer,null,1695165773263000,2023-09-19 23:22:53.263000064
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTabPlayer,PathTab,null,1695165902467010,2023-09-19 23:25:02.467010048
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,CollectionQuiz,null,1695165906493020,2023-09-19 23:25:06.493019904
W1_cjyfLSEqpecix7LdImQ,screen_view,CollectionQuiz,PathTab,null,1695165962365020,2023-09-19 23:26:02.365019904
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,CollectionQuiz,null,1695165965718020,2023-09-19 23:26:05.718020096
W1_cjyfLSEqpecix7LdImQ,screen_view,CollectionQuiz,PathTab,null,1695166022543030,2023-09-19 23:27:02.543030016
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,MyTab,null,1695166023978030,2023-09-19 23:27:03.978030080
W1_cjyfLSEqpecix7LdImQ,screen_view,MyTab,RCTModalHostViewController,null,1695166031010030,2023-09-19 23:27:11.010030080
W1_cjyfLSEqpecix7LdImQ,screen_view,RCTModalHostViewController,UIViewController,null,1695166032475040,2023-09-19 23:27:12.475040000
