auth_id,fomatted_event_timestamp_w_timezone,event_name,previous_screen_class,screen_class,use_time_msec
0mlBoXZHSLmWELx913rR9g,2023-09-18 14:55:54.731000064,first_open,null,null,1
0mlBoXZHSLmWELx913rR9g,2023-09-18 14:55:55.980000000,screen_view,null,MainActivity,4852
0mlBoXZHSLmWELx913rR9g,2023-09-18 14:56:00.319000064,screen_view,MainActivity,Splash,99
0mlBoXZHSLmWELx913rR9g,2023-09-18 14:56:00.319000064,splash_visit,null,Splash,null
0mlBoXZHSLmWELx913rR9g,2023-09-18 14:56:00.417999872,screen_view,Splash,OnboardingFirst,4750
0mlBoXZHSLmWELx913rR9g,2023-09-18 14:56:05.168000000,screen_view,OnboardingFirst,OnboardingLanguageSetting,6754
0mlBoXZHSLmWELx913rR9g,2023-09-18 14:56:11.921009920,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,4357
0mlBoXZHSLmWELx913rR9g,2023-09-18 14:58:32.504000000,user_engagement,null,OnboardingKoreanOptions,1298
0mlBoXZHSLmWELx913rR9g,2023-09-18 15:24:20.156000000,screen_view,OnboardingKoreanOptions,HomeTab,3142
0mlBoXZHSLmWELx913rR9g,2023-09-18 15:24:23.297999872,screen_view,HomeTab,MyTab,10846
0mlBoXZHSLmWELx913rR9g,2023-09-18 15:24:32.515000064,user_engagement,null,MyTab,9214
0mlBoXZHSLmWELx913rR9g,2023-09-18 15:24:57.315000064,screen_view,MyTab,SignInHubActivity,null
0mlBoXZHSLmWELx913rR9g,2023-09-18 15:24:59.040999936,screen_view,SignInHubActivity,MainActivity,346
0mlBoXZHSLmWELx913rR9g,2023-09-18 15:25:16.455000064,user_engagement,null,MainActivity,17415
0mlBoXZHSLmWELx913rR9g,2023-09-18 15:25:18.911000064,screen_view,MainActivity,Coupon,null
0mlBoXZHSLmWELx913rR9g,2023-09-18 15:25:21.009999872,user_engagement,null,Coupon,2098
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:32:56.505999872,screen_view,null,MainActivity,1644
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:32:58.119000064,splash_visit,null,Splash,null
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:32:58.119000064,screen_view,MainActivity,Splash,74
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:32:58.192999936,screen_view,Splash,HomeTab,85
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:32:58.276000000,screen_view,HomeTab,Coupon,null
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:33:08.676999936,user_engagement,null,Coupon,10398
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:33:09.500000000,screen_view,null,MainActivity,961
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:33:10.308999936,splash_visit,null,Splash,null
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:33:10.308999936,screen_view,MainActivity,Splash,286
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:33:10.308999936,membership_user,null,Splash,null
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:33:10.595000064,screen_view,Splash,HomeTab,4130
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:33:12.774000128,user_engagement,null,HomeTab,2177
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:33:56.824009984,screen_view,HomeTab,CollectionQuiz,33869
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:34:30.692999936,screen_view,CollectionQuiz,HomeTab,7856
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:34:38.548999936,screen_view,HomeTab,PathTab,3537
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:34:38.806000128,path_tab_visit,null,PathTab,null
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:34:42.084999936,screen_view,PathTab,SnackPlayer,17488
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:34:42.104999936,path_tab_step_click,null,SnackPlayer,null
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:34:59.574000128,screen_view,SnackPlayer,PathTab,13831
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:34:59.579010048,path_tab_visit,null,PathTab,null
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:35:13.381009920,path_tab_step_click,null,PathTab,null
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:35:13.406010112,screen_view,PathTab,CollectionQuiz,29534
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:35:40.908999936,path_tab_visit,null,CollectionQuiz,null
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:35:42.939000064,screen_view,CollectionQuiz,PathTab,4048
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:35:42.940000000,path_tab_visit,null,PathTab,null
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:35:46.566000128,path_tab_step_click,null,PathTab,null
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:35:46.988000000,screen_view,PathTab,PathTabPlayer,10959
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:35:57.947000064,screen_view,PathTabPlayer,PathTab,4116
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:36:02.062000128,screen_view,PathTab,ReviewTab,7123
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:36:26.974010112,screen_view,HomeTab,CollectionQuiz,33161
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:37:00.135000064,screen_view,CollectionQuiz,HomeTab,1350
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:37:01.486000128,screen_view,HomeTab,MyTab,null
0mlBoXZHSLmWELx913rR9g,2023-09-18 16:37:07.307000064,user_engagement,null,MyTab,5820
0mlBoXZHSLmWELx913rR9g,2023-09-24 18:14:04.331000064,screen_view,null,MainActivity,2161
0mlBoXZHSLmWELx913rR9g,2023-09-24 18:14:06.209999872,splash_visit,null,Splash,null
0mlBoXZHSLmWELx913rR9g,2023-09-24 18:14:06.209999872,screen_view,MainActivity,Splash,5016
0mlBoXZHSLmWELx913rR9g,2023-09-24 18:14:06.211000064,membership_user,null,Splash,null
0mlBoXZHSLmWELx913rR9g,2023-09-24 18:14:11.224999936,screen_view,Splash,Player,null
0mlBoXZHSLmWELx913rR9g,2023-09-24 18:14:30.342000128,user_engagement,null,Player,19114
0mlBoXZHSLmWELx913rR9g,2023-09-24 18:14:50.254000128,user_engagement,null,Player,18691
0mlBoXZHSLmWELx913rR9g,2023-09-26 18:13:31.380999936,screen_view,null,MainActivity,2196
0mlBoXZHSLmWELx913rR9g,2023-09-26 18:13:33.440000000,screen_view,MainActivity,Splash,4930
0mlBoXZHSLmWELx913rR9g,2023-09-26 18:13:33.440000000,splash_visit,null,Splash,null
0mlBoXZHSLmWELx913rR9g,2023-09-26 18:13:33.440000000,membership_user,null,Splash,null
0mlBoXZHSLmWELx913rR9g,2023-09-26 18:13:38.369999872,screen_view,Splash,Player,null
0mlBoXZHSLmWELx913rR9g,2023-09-26 18:14:28.743000064,user_engagement,null,Player,50371
