auth_id,fomatted_event_timestamp_w_timezone,event_name,previous_screen_class,screen_class,use_time_msec
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:40:31.224999936,first_open,null,UIViewController,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:40:31.224999936,user_engagement,null,UIViewController,1
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:40:31.576999936,screen_view,null,UIViewController,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:40:31.680999936,screen_view,UIViewController,UIViewController,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:40:33.108999936,screen_view,UIViewController,Splash,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:40:33.108999936,user_engagement,null,UIViewController,1156
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:40:33.110000128,splash_visit,null,Splash,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:40:33.124999936,screen_view,Splash,OnboardingFirst,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:40:33.441999872,user_engagement,null,OnboardingFirst,332
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:40:36.905999872,user_engagement,null,OnboardingFirst,2060
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:40:36.905999872,screen_view,OnboardingFirst,OnboardingLanguageSetting,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:40:37.256999936,user_engagement,null,OnboardingLanguageSetting,351
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:40:47.609999872,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:40:47.609999872,user_engagement,null,OnboardingLanguageSetting,8575
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:41:07.668000000,screen_view,OnboardingKoreanOptions,HomeTab,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:41:07.668000000,user_engagement,null,OnboardingKoreanOptions,20058
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:41:12.134010112,user_engagement,null,HomeTab,4465
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:41:12.134010112,screen_view,HomeTab,MyTab,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:41:14.160009984,user_engagement,null,MyTab,2026
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:41:14.161009920,screen_view,MyTab,RCTModalHostViewController,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:41:34.838000128,user_engagement,null,RCTModalHostViewController,20677
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:41:34.839000064,screen_view,RCTModalHostViewController,UIViewController,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:42:01.063000064,user_engagement,null,UIViewController,26225
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:42:23.739000064,screen_view,UIViewController,Coupon,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:42:23.740000000,user_engagement,null,UIViewController,1131
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:42:26.975000064,user_engagement,null,Coupon,3234
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:42:57.390000128,user_engagement,null,Coupon,8713
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:42:57.391000064,splash_visit,null,Splash,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:42:57.391000064,membership_user,null,Splash,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:42:57.432000000,screen_view,Splash,HomeTab,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:42:57.940999936,user_engagement,null,HomeTab,551
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:42:58.582000128,user_engagement,null,HomeTab,9
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:43:00.417999872,screen_view,HomeTab,ReviewTab,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:43:01.044999936,screen_view,ReviewTab,MyTab,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:43:01.044999936,user_engagement,null,ReviewTab,1489
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:43:04.448999936,screen_view,MyTab,MyTabSetting,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:43:04.449999872,user_engagement,null,MyTab,3404
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:43:07.332000000,screen_view,MyTabSetting,MyTab,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:43:10.343000064,screen_view,MyTab,MyTabSetting,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:43:18.479000064,screen_view,MyTabSetting,MyAccountChange,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:43:18.479000064,user_engagement,null,MyTabSetting,8135
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:43:22.350010112,user_engagement,null,MyAccountChange,3870
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:46:58.899000064,screen_view,MyAccountChange,MyTabSetting,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:46:58.900999936,user_engagement,null,MyAccountChange,2528
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:47:21.208000000,user_engagement,null,MyTabSetting,22306
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:47:49.004999936,screen_view,MyTabSetting,MyTab,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:47:49.004999936,user_engagement,null,MyTabSetting,26312
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:47:50.540999936,user_engagement,null,MyTab,1535
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:47:50.540999936,screen_view,MyTab,PlusOnlyTab,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:47:51.932999936,screen_view,PlusOnlyTab,ReviewTab,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:47:51.932999936,user_engagement,null,PlusOnlyTab,1391
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:47:53.156000000,user_engagement,null,ReviewTab,1223
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:47:53.156000000,screen_view,ReviewTab,PathTab,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:47:53.268009984,path_tab_visit,null,PathTab,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:47:53.955010048,screen_view,PathTab,HomeTab,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:47:56.513009920,screen_view,HomeTab,MyTab,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:48:01.059010048,screen_view,MyTab,MyTabSetting,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-19 23:48:09.757009920,user_engagement,null,MyTabSetting,8698
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-20 00:08:17.384999936,screen_view,null,UIViewController,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-20 00:08:17.420999936,screen_view,UIViewController,UIViewController,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-20 00:08:17.888000000,screen_view,UIViewController,Splash,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-20 00:08:17.888000000,membership_user,null,Splash,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-20 00:08:17.888000000,splash_visit,null,Splash,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-20 00:08:17.927000064,screen_view,Splash,HomeTab,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-20 00:08:18.463000064,screen_view,HomeTab,RCTModalHostViewController,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-20 00:08:20.056999936,user_engagement,null,RCTModalHostViewController,2577
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-20 00:08:20.056999936,screen_view,RCTModalHostViewController,UIViewController,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-20 00:08:20.616009984,screen_view,UIViewController,MyTab,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-20 00:08:21.700009984,user_engagement,null,MyTab,1643
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-20 00:08:21.700009984,screen_view,MyTab,MyTabSetting,null
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-20 00:08:40.418010112,user_engagement,null,MyTabSetting,18717
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-20 00:09:01.688999936,user_engagement,null,MyTabSetting,20197
3tv6xAvjSiOBvn6Pi8LkGw,2023-09-20 00:09:05.975000064,screen_view,MyTabSetting,MyTab,null
