auth_id,fomatted_event_timestamp_w_timezone,event_name,previous_screen_class,screen_class,use_time_msec
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:21.249999872,first_open,null,UIViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:21.249999872,user_engagement,null,UIViewController,1
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:21.368999936,screen_view,null,UIViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:21.390000128,screen_view,UIViewController,UIViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:21.907000064,user_engagement,null,UIViewController,352
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:22.764999936,screen_view,UIViewController,RCTModalHostViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:24.796000000,user_engagement,null,RCTModalHostViewController,1383
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:24.796999936,screen_view,RCTModalHostViewController,UIViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:26.104000000,screen_view,null,UIViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:26.112999936,screen_view,UIViewController,UIViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:27.704999936,screen_view,UIViewController,Splash,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:27.704999936,user_engagement,null,UIViewController,1369
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:27.705999872,splash_visit,null,Splash,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:27.713999872,screen_view,Splash,OnboardingFirst,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:29.473999872,user_engagement,null,OnboardingFirst,1768
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:30.443000064,screen_view,OnboardingFirst,OnboardingLanguageSetting,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:39.268999936,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:39.268999936,user_engagement,null,OnboardingLanguageSetting,8481
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:50.540999936,user_engagement,null,OnboardingKoreanOptions,11271
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:50.540999936,screen_view,OnboardingKoreanOptions,HomeTab,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:53.129999872,user_engagement,null,HomeTab,2589
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:57.915000064,screen_view,HomeTab,RCTModalHostViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:59.814000128,user_engagement,null,RCTModalHostViewController,1899
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:59.816000000,screen_view,RCTModalHostViewController,UIViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:47:59.940999936,screen_view,UIViewController,RCTModalHostViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:48:03.924999936,user_engagement,null,RCTModalHostViewController,4110
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:48:05.339000064,screen_view,RCTModalHostViewController,SFAuthenticationViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:48:09.879000064,user_engagement,null,SFAuthenticationViewController,4721
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:48:09.880999936,screen_view,SFAuthenticationViewController,RCTModalHostViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:48:10.440000000,screen_view,RCTModalHostViewController,Coupon,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:48:10.497999872,screen_view,Coupon,UIViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:48:10.800999936,screen_view,UIViewController,RCTModalHostViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:48:24.791000064,screen_view,RCTModalHostViewController,UIViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:48:24.791000064,user_engagement,null,RCTModalHostViewController,14911
ECvuummcQA-4GskntiAHtQ,2023-09-18 13:48:31.636999936,user_engagement,null,UIViewController,6846
ECvuummcQA-4GskntiAHtQ,2023-09-18 14:00:00.057999872,user_engagement,null,UIViewController,1406
ECvuummcQA-4GskntiAHtQ,2023-09-18 14:00:14.523000064,user_engagement,null,UIViewController,883
ECvuummcQA-4GskntiAHtQ,2023-09-18 14:00:22.403000064,user_engagement,null,UIViewController,1107
ECvuummcQA-4GskntiAHtQ,2023-09-18 15:07:20.419000064,screen_view,UIViewController,Splash,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 15:07:20.428000000,screen_view,Splash,HomeTab,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 15:07:22.615000064,user_engagement,null,HomeTab,2215
ECvuummcQA-4GskntiAHtQ,2023-09-18 15:07:28.391000064,user_engagement,null,HomeTab,993
ECvuummcQA-4GskntiAHtQ,2023-09-18 16:01:14.340000000,screen_view,null,UIViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 16:01:14.356000000,screen_view,UIViewController,UIViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 16:01:14.575000064,splash_visit,null,Splash,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 16:01:14.575000064,screen_view,UIViewController,Splash,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 16:01:14.601999872,screen_view,Splash,HomeTab,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 16:01:15.492000000,user_engagement,null,HomeTab,1031
ECvuummcQA-4GskntiAHtQ,2023-09-18 16:01:15.492000000,screen_view,HomeTab,RCTModalHostViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 16:01:15.540999936,user_engagement,null,RCTModalHostViewController,49
ECvuummcQA-4GskntiAHtQ,2023-09-18 16:01:34.857999872,screen_view,RCTModalHostViewController,UIViewController,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 16:01:39.664999936,screen_view,UIViewController,Splash,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 16:01:39.665999872,membership_user,null,Splash,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 16:01:39.665999872,splash_visit,null,Splash,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 16:01:39.665999872,user_engagement,null,UIViewController,4939
ECvuummcQA-4GskntiAHtQ,2023-09-18 16:01:39.680999936,screen_view,Splash,HomeTab,null
ECvuummcQA-4GskntiAHtQ,2023-09-18 16:01:41.099000064,user_engagement,null,HomeTab,1433
