auth_id,fomatted_event_timestamp_w_timezone,event_name,previous_screen_class,screen_class,use_time_msec
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:09:58.067000064,first_open,null,UIViewController,null
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:09:58.067000064,user_engagement,null,UIViewController,1
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:09:58.148000000,screen_view,null,UIViewController,null
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:09:58.164999936,screen_view,UIViewController,UIViewController,null
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:09:59.782000128,screen_view,UIViewController,Splash,null
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:09:59.782000128,user_engagement,null,UIViewController,1345
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:09:59.783000064,splash_visit,null,Splash,null
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:09:59.788999936,screen_view,Splash,OnboardingFirst,null
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:10:01.377999872,user_engagement,null,OnboardingFirst,1596
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:10:03.168999936,user_engagement,null,OnboardingFirst,1790
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:10:03.168999936,screen_view,OnboardingFirst,OnboardingLanguageSetting,null
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:10:03.684999936,user_engagement,null,OnboardingLanguageSetting,139
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:10:23.556999936,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:10:23.556999936,user_engagement,null,OnboardingLanguageSetting,12917
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:10:40.510000128,user_engagement,null,OnboardingKoreanOptions,16953
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:10:40.510000128,screen_view,OnboardingKoreanOptions,HomeTab,null
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:10:49.118010112,user_engagement,null,HomeTab,8607
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:10:49.118010112,screen_view,HomeTab,PathTab,null
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:10:49.330010112,path_tab_visit,null,PathTab,null
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:10:58.332999936,screen_view,PathTab,PushHistory,null
SS_M7DvJTvKxIcNAt6rB5Q,2023-09-19 09:10:58.334000128,user_engagement,null,PathTab,9215
