auth_id,fomatted_event_timestamp_w_timezone,event_name,previous_screen_class,screen_class,use_time_msec
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:11:49.912000000,user_engagement,null,UIViewController,1
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:11:49.912000000,first_open,null,UIViewController,null
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:11:49.993999872,screen_view,null,UIViewController,null
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:11:50.015000064,screen_view,UIViewController,UIViewController,null
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:11:51.561999872,screen_view,UIViewController,Splash,null
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:11:51.561999872,user_engagement,null,UIViewController,1262
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:11:51.563000064,splash_visit,null,Splash,null
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:11:51.568999936,screen_view,Splash,OnboardingFirst,null
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:11:51.696999936,user_engagement,null,OnboardingFirst,134
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:11:54.440999936,screen_view,OnboardingFirst,OnboardingLanguageSetting,null
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:11:54.767000064,user_engagement,null,OnboardingLanguageSetting,887
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:12:25.575000064,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:12:25.576000000,user_engagement,null,OnboardingLanguageSetting,28514
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:12:42.552000000,screen_view,OnboardingKoreanOptions,HomeTab,null
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:12:42.552000000,user_engagement,null,OnboardingKoreanOptions,16975
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:13:11.182010112,screen_view,HomeTab,Player,null
UXtdCOPLTDaONmM-mk4e1A,2023-09-15 01:13:11.183010048,user_engagement,null,HomeTab,28630
