auth_id,fomatted_event_timestamp_w_timezone,event_name,previous_screen_class,screen_class,use_time_msec
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:00.123000064,user_engagement,null,UIViewController,1
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:00.123000064,first_open,null,UIViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:00.304000000,screen_view,null,UIViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:00.368999936,screen_view,UIViewController,UIViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:02.044999936,user_engagement,null,UIViewController,790
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:02.540999936,screen_view,UIViewController,Splash,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:02.542000128,splash_visit,null,Splash,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:02.552000000,screen_view,Splash,OnboardingFirst,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:06.233999872,screen_view,OnboardingFirst,OnboardingLanguageSetting,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:06.233999872,user_engagement,null,OnboardingFirst,2366
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:11.369999872,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:11.371000064,user_engagement,null,OnboardingLanguageSetting,5136
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:19.432999936,user_engagement,null,OnboardingKoreanOptions,8061
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:19.432999936,screen_view,OnboardingKoreanOptions,HomeTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:41.468009984,user_engagement,null,HomeTab,22035
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:41.468009984,screen_view,HomeTab,MyTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:53.189019904,screen_view,PlusOnlyTab,CurriculumDetail,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:57:53.189019904,user_engagement,null,PlusOnlyTab,11720
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:06.929019904,screen_view,CurriculumDetail,PlusOnlyTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:06.929019904,user_engagement,null,CurriculumDetail,13740
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:20.015030016,screen_view,PlusOnlyTab,CurriculumDetail,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:20.016019968,user_engagement,null,PlusOnlyTab,13086
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:24.315030016,user_engagement,null,CurriculumDetail,4299
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:31.972029952,user_engagement,null,PlusOnlyTab,7656
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:31.972029952,screen_view,PlusOnlyTab,SpeakCourse,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:36.937040128,screen_view,SpeakCourse,PlusOnlyTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:36.938030080,user_engagement,null,SpeakCourse,4965
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:37.770040064,screen_view,PlusOnlyTab,SpeakCourse,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:40.309040128,user_engagement,null,SpeakCourse,3371
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:44.540000000,screen_view,SpeakCourse,PlusOnlyTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:51.276000000,user_engagement,null,PlusOnlyTab,6736
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:51.276000000,screen_view,PlusOnlyTab,MyTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:53.935000064,screen_view,MyTab,HomeTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:58:53.936000000,user_engagement,null,MyTab,2659
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:59:02.099010048,screen_view,HomeTab,MyTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:59:02.100009984,user_engagement,null,HomeTab,8164
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:59:04.099010048,user_engagement,null,ReviewTab,1999
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:59:04.099010048,screen_view,ReviewTab,HomeTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 19:59:05.814010112,user_engagement,null,HomeTab,1714
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 23:43:17.494000128,screen_view,HomeTab,Splash,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 23:43:17.588999936,screen_view,Splash,HomeTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 23:43:21.180999936,user_engagement,null,HomeTab,3766
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 23:43:21.182000128,screen_view,HomeTab,RCTModalHostViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 23:43:22.371000064,user_engagement,null,RCTModalHostViewController,1190
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 23:43:22.372000000,screen_view,RCTModalHostViewController,UIViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 23:43:25.315010048,screen_view,UIViewController,PathTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 23:43:25.315010048,user_engagement,null,UIViewController,2943
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 23:43:25.458010112,path_tab_visit,null,PathTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 23:43:35.767000064,screen_view,PathTab,PlusOnlyTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-18 23:43:35.767000064,user_engagement,null,PathTab,10451
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:22.647000064,screen_view,null,UIViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:22.681999872,screen_view,UIViewController,UIViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:23.063000064,screen_view,UIViewController,Splash,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:23.063000064,splash_visit,null,Splash,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:23.092000000,screen_view,Splash,HomeTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:23.995000064,screen_view,HomeTab,RCTModalHostViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:23.995000064,user_engagement,null,HomeTab,1360
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:25.823010048,user_engagement,null,RCTModalHostViewController,1828
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:25.824009984,screen_view,RCTModalHostViewController,UIViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:26.763010048,screen_view,UIViewController,PlusOnlyTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:32.895010048,screen_view,PlusOnlyTab,SpeakCourse,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:32.895010048,user_engagement,null,PlusOnlyTab,7072
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:35.474020096,user_engagement,null,SpeakCourse,2578
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:35.475020032,screen_view,SpeakCourse,RCTModalHostViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:37.468019968,user_engagement,null,RCTModalHostViewController,1994
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:37.469019904,screen_view,RCTModalHostViewController,UIViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:38.540999936,user_engagement,null,UIViewController,1072
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:38.540999936,screen_view,UIViewController,PlusOnlyTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:39.424999936,screen_view,PlusOnlyTab,MyTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:46.680999936,user_engagement,null,MyTab,8139
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:46.681999872,screen_view,MyTab,RCTModalHostViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:52:49.180009984,user_engagement,null,RCTModalHostViewController,2498
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:53:08.640999936,user_engagement,null,RCTModalHostViewController,19461
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:53:08.641999872,screen_view,RCTModalHostViewController,UIViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:53:08.926000128,screen_view,UIViewController,RCTModalHostViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:53:29.518000128,screen_view,RCTModalHostViewController,UIViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:53:29.518000128,user_engagement,null,RCTModalHostViewController,20492
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:53:36.123000064,screen_view,UIViewController,PlusOnlyTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:53:36.123000064,user_engagement,null,UIViewController,6605
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:53:37.403000064,user_engagement,null,PlusOnlyTab,1280
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:53:37.403010048,screen_view,PlusOnlyTab,HomeTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:53:44.083010048,user_engagement,null,HomeTab,6679
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:53:44.083010048,screen_view,HomeTab,MyTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:53:45.040009984,screen_view,MyTab,MyTabSetting,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:53:49.206010112,user_engagement,null,MyTabSetting,5123
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:54:40.647000064,user_engagement,null,MyTabSetting,1705
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:01.336999936,screen_view,MyTabSetting,Splash,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:01.336999936,user_engagement,null,MyTabSetting,4222
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:01.337999872,splash_visit,null,Splash,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:01.339000064,membership_user,null,Splash,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:01.366000128,screen_view,Splash,HomeTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:07.096000000,user_engagement,null,HomeTab,5758
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:07.096009984,screen_view,HomeTab,PathTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:07.232009984,path_tab_visit,null,PathTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:08.901009920,screen_view,PathTab,RCTModalHostViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:08.901009920,user_engagement,null,PathTab,1804
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:12.104009984,user_engagement,null,RCTModalHostViewController,3203
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:14.244019968,screen_view,ReviewTab,PlusOnlyTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:14.245009920,user_engagement,null,ReviewTab,2140
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:19.789019904,screen_view,PlusOnlyTab,SpeakCourse,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:29.017019904,screen_view,SpeakCourse,SpeakLecturePlayer,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:55:29.018020096,user_engagement,null,SpeakCourse,9228
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:56:21.051030016,user_engagement,null,SpeakLecturePlayer,52033
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:56:21.051030016,screen_view,SpeakLecturePlayer,SpeakLectureSpeaking,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:56:24.146030080,user_engagement,null,SpeakLectureSpeaking,3094
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:57:58.357009920,screen_view,SpeakLectureSpeaking,SpeakLecturePlayer,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:57:58.358010112,user_engagement,null,SpeakLectureSpeaking,92265
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:58:23.870010112,screen_view,SpeakLecturePlayer,SpeakLectureSpeaking,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:58:23.870010112,user_engagement,null,SpeakLecturePlayer,25512
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:58:24.981019904,user_engagement,null,SpeakLectureSpeaking,1111
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:58:24.981019904,screen_view,SpeakLectureSpeaking,SpeakLecturePlayer,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-19 00:58:54.546020096,user_engagement,null,SpeakLecturePlayer,29565
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-25 11:01:48.152999936,screen_view,null,UIViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-25 11:01:48.188999936,screen_view,UIViewController,UIViewController,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-25 11:01:50.888999936,screen_view,UIViewController,Splash,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-25 11:01:50.888999936,user_engagement,null,UIViewController,2640
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-25 11:01:50.889999872,splash_visit,null,Splash,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-25 11:01:50.889999872,membership_user,null,Splash,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-25 11:01:50.928999936,screen_view,Splash,HomeTab,null
VrVBdpn5QWOhPYOMZYjqBQ,2023-09-25 11:01:56.569009920,user_engagement,null,HomeTab,5680
