auth_id,fomatted_event_timestamp_w_timezone,event_name,previous_screen_class,screen_class,use_time_msec
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:17:45.403000064,first_open,null,UIViewController,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:17:45.403000064,user_engagement,null,UIViewController,1
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:17:45.542000128,screen_view,null,UIViewController,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:17:45.584000000,screen_view,UIViewController,UIViewController,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:17:47.764999936,user_engagement,null,UIViewController,2018
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:17:48.481999872,splash_visit,null,Splash,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:17:48.481999872,screen_view,UIViewController,Splash,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:17:48.489999872,screen_view,Splash,OnboardingFirst,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:17:50.289999872,screen_view,OnboardingFirst,OnboardingLanguageSetting,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:17:57.567000064,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:17:57.567000064,user_engagement,null,OnboardingLanguageSetting,7431
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:18:08.640000000,user_engagement,null,OnboardingKoreanOptions,11073
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:18:08.640000000,screen_view,OnboardingKoreanOptions,HomeTab,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:18:10.787010048,screen_view,HomeTab,MyTab,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:18:10.788009984,user_engagement,null,HomeTab,2146
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:18:12.624009984,user_engagement,null,MyTab,1836
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:18:12.625019904,screen_view,MyTab,RCTModalHostViewController,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:18:14.506020096,user_engagement,null,RCTModalHostViewController,1881
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:18:15.752999936,screen_view,RCTModalHostViewController,SFAuthenticationViewController,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:18:52.444000000,user_engagement,null,SFAuthenticationViewController,36882
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:18:52.446000128,screen_view,SFAuthenticationViewController,RCTModalHostViewController,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:18:53.276999936,screen_view,RCTModalHostViewController,UIViewController,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:18:53.606000128,user_engagement,null,UIViewController,1162
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:18:53.607000064,screen_view,UIViewController,RCTModalHostViewController,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:19:08.271000064,user_engagement,null,RCTModalHostViewController,14664
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:19:08.272000000,screen_view,RCTModalHostViewController,UIViewController,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:19:11.416999936,screen_view,UIViewController,HomeTab,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:19:11.416999936,user_engagement,null,UIViewController,3146
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:20:15.184000000,user_engagement,null,HomeTab,63766
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:20:15.184000000,screen_view,HomeTab,PathTab,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:20:15.383000064,path_tab_visit,null,PathTab,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:20:17.463010048,screen_view,PathTab,PlusOnlyTab,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:20:17.463010048,user_engagement,null,PathTab,2279
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:20:20.990010112,screen_view,PlusOnlyTab,MyTab,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:20:20.990010112,user_engagement,null,PlusOnlyTab,3526
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 14:20:26.460009984,user_engagement,null,MyTab,5470
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 16:41:20.934000128,screen_view,MyTab,Splash,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 16:41:20.934000128,splash_visit,null,Splash,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 16:41:20.934000128,user_engagement,null,MyTab,4968
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 16:41:20.934000128,membership_user,null,Splash,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 16:41:20.959000064,screen_view,Splash,HomeTab,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 16:41:26.215000064,user_engagement,null,HomeTab,5281
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 16:41:26.215010048,screen_view,HomeTab,PushHistory,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 16:41:28.594010112,screen_view,PushHistory,HomeTab,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 16:41:28.595010048,user_engagement,null,PushHistory,2379
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 16:41:29.611010048,screen_view,HomeTab,MyTab,null
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 16:41:29.612009984,user_engagement,null,HomeTab,1016
Wma7L57WQgGc-9ivrhoG4A,2023-09-18 16:41:31.719000064,user_engagement,null,MyTab,2106
