auth_id,fomatted_event_timestamp_w_timezone,event_name,previous_screen_class,screen_class,use_time_msec
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:05:05.524000000,first_open,null,null,1
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:05:05.767000064,screen_view,null,MainActivity,1343
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:05:07.160000000,user_engagement,null,MainActivity,1406
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:05:38.647000064,screen_view,MainActivity,Splash,40
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:05:38.647000064,splash_visit,null,Splash,null
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:05:38.686000128,screen_view,Splash,OnboardingFirst,1185
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:05:39.872000000,screen_view,OnboardingFirst,OnboardingLanguageSetting,7423
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:05:48.675010048,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,11593
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:06:00.268009984,screen_view,OnboardingKoreanOptions,HomeTab,13122
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:06:13.390010112,screen_view,HomeTab,PlusOnlyTab,2065
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:06:15.454020096,screen_view,PlusOnlyTab,MyTab,5060
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:06:20.558020096,screen_view,MyTab,SignInHubActivity,null
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:06:33.218020096,screen_view,SignInHubActivity,MainActivity,22410
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:06:55.620999936,screen_view,MainActivity,ReviewTab,1792
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:06:57.412999936,screen_view,ReviewTab,PlusOnlyTab,627
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:06:58.040999936,screen_view,PlusOnlyTab,PathTab,511
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:06:58.220999936,path_tab_visit,null,PathTab,null
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:06:58.552009984,screen_view,PathTab,MyTab,616
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:06:59.168009984,screen_view,MyTab,PathTab,null
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:06:59.168009984,path_tab_visit,null,PathTab,null
X89zKFz4QC-M5jwo1iLI4g,2023-09-18 14:07:00.296009984,user_engagement,null,PathTab,1128
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:16.777999872,screen_view,null,MainActivity,1223
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:17.998000128,screen_view,MainActivity,Splash,56
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:17.999000064,splash_visit,null,Splash,null
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:18.054000128,screen_view,Splash,HomeTab,3824
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:21.879000064,screen_view,HomeTab,MyTab,1497
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:23.375000064,screen_view,MyTab,PlusOnlyTab,1881
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:25.257009920,screen_view,PlusOnlyTab,PathTab,1644
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:25.544009984,path_tab_visit,null,PathTab,null
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:26.899010048,screen_view,PathTab,MyTab,2124
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:29.024000000,screen_view,MyTab,MyTabSetting,6507
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:35.531000064,screen_view,MyTabSetting,MyTab,1048
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:36.579000064,screen_view,MyTab,StreakResult,7027
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:43.604999936,screen_view,StreakResult,MyTab,2589
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:46.195000064,screen_view,MyTab,ReviewTab,1951
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:48.146010112,screen_view,ReviewTab,PlusOnlyTab,891
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:49.038010112,screen_view,PlusOnlyTab,ReviewTab,10595
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:15:59.635010048,path_tab_visit,null,PathTab,null
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:00.472019968,screen_view,PathTab,HomeTab,3316
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:03.788019968,screen_view,HomeTab,PathTab,11162
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:03.788019968,path_tab_visit,null,PathTab,null
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:14.949019904,screen_view,PathTab,HomeTab,1434
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:16.384019968,path_tab_visit,null,PathTab,null
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:16.384019968,screen_view,HomeTab,PathTab,1109
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:17.493019904,screen_view,PathTab,PlusOnlyTab,631
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:18.123030016,screen_view,PlusOnlyTab,ReviewTab,571
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:18.694030080,screen_view,ReviewTab,PlusOnlyTab,1860
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:20.554030080,screen_view,PlusOnlyTab,ReviewTab,2594
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:23.148029952,screen_view,ReviewTab,MyTab,1900
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:25.048029952,screen_view,MyTab,BadgeList,1042
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:26.090040064,screen_view,BadgeList,MyTab,614
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:26.705040128,screen_view,MyTab,MyTabSetting,10317
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:37.022040064,screen_view,MyTabSetting,MyTab,982
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:16:38.003040000,screen_view,MyTab,HomeTab,null
X89zKFz4QC-M5jwo1iLI4g,2023-09-20 14:17:55.096039936,user_engagement,null,HomeTab,77092
