auth_id,fomatted_event_timestamp_w_timezone,event_name,previous_screen_class,screen_class,use_time_msec
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:12:34.161999872,first_open,null,UIViewController,null
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:12:34.161999872,user_engagement,null,UIViewController,1
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:12:34.248999936,screen_view,null,UIViewController,null
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:12:34.270000128,screen_view,UIViewController,UIViewController,null
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:12:36.411000064,screen_view,UIViewController,Splash,null
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:12:36.412000000,splash_visit,null,Splash,null
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:12:36.412000000,user_engagement,null,UIViewController,1410
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:12:36.419000064,screen_view,Splash,OnboardingFirst,null
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:12:36.664999936,user_engagement,null,OnboardingFirst,253
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:12:43.097999872,screen_view,OnboardingFirst,OnboardingLanguageSetting,null
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:12:55.262000128,user_engagement,null,OnboardingLanguageSetting,12735
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:12:55.262000128,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:13:04.451000064,user_engagement,null,OnboardingKoreanOptions,9189
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:13:04.451010048,screen_view,OnboardingKoreanOptions,PathTabPlayer,null
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:13:05.951010048,path_tab_visit,null,PathTabPlayer,null
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:14:21.087000064,user_engagement,null,PathTabPlayer,76636
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:14:21.087000064,screen_view,PathTabPlayer,PathTab,null
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:14:21.131000064,screen_view,PathTab,RCTModalHostViewController,null
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:14:23.144999936,user_engagement,null,RCTModalHostViewController,2057
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:14:23.145999872,screen_view,RCTModalHostViewController,UIViewController,null
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:14:26.847000064,user_engagement,null,UIViewController,3702
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:14:26.847000064,screen_view,UIViewController,MyTab,null
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:14:44.744009984,user_engagement,null,MyTab,17897
djaAx8sEQReRzImtd2sA3w,2023-09-24 20:22:36.576000000,screen_view,MyTab,RCTModalHostViewController,null
