auth_id,fomatted_event_timestamp_w_timezone,event_name,previous_screen_class,screen_class,use_time_msec
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:06:38.304999936,first_open,null,UIViewController,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:06:38.304999936,user_engagement,null,UIViewController,1
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:06:38.456000000,screen_view,null,UIViewController,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:06:38.487000064,screen_view,UIViewController,UIViewController,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:06:40.239000064,user_engagement,null,UIViewController,1672
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:06:40.239000064,screen_view,UIViewController,Splash,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:06:40.240999936,splash_visit,null,Splash,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:06:40.252999936,screen_view,Splash,OnboardingFirst,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:06:40.473999872,user_engagement,null,OnboardingFirst,234
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:06:43.288000000,screen_view,OnboardingFirst,OnboardingLanguageSetting,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:07:01.264999936,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:07:01.265999872,user_engagement,null,OnboardingLanguageSetting,18385
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:07:15.894000128,screen_view,OnboardingKoreanOptions,HomeTab,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:07:15.894000128,user_engagement,null,OnboardingKoreanOptions,14628
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:07:51.907010048,user_engagement,null,HomeTab,36012
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:07:51.907010048,screen_view,HomeTab,SnackUploaderList,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:07:58.199010048,screen_view,SnackUploaderList,HomeTab,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:07:58.200009984,user_engagement,null,SnackUploaderList,6292
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:08:42.061019904,screen_view,HomeTab,PathTab,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:08:42.061019904,user_engagement,null,HomeTab,43861
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:08:43.183020032,path_tab_visit,null,PathTab,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:08:57.447020032,screen_view,PathTab,SnackPlayer,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:08:57.448019968,user_engagement,null,PathTab,15386
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:08:57.450020096,path_tab_step_click,null,SnackPlayer,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:09:31.642020096,screen_view,SnackPlayer,PathTab,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:09:31.642020096,user_engagement,null,SnackPlayer,34194
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:09:31.644029952,path_tab_visit,null,PathTab,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:09:31.676029952,screen_view,PathTab,RCTModalHostViewController,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:09:39.642030080,user_engagement,null,RCTModalHostViewController,7999
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:09:39.643030016,screen_view,RCTModalHostViewController,UIViewController,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:09:47.249030144,user_engagement,null,UIViewController,7607
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:09:47.249030144,screen_view,UIViewController,SnackPlayer,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:09:47.252029952,path_tab_step_click,null,SnackPlayer,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:10:23.558040064,screen_view,SnackPlayer,PathTab,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:10:23.559040000,user_engagement,null,SnackPlayer,36309
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:10:23.560039936,path_tab_visit,null,PathTab,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:10:23.586040064,screen_view,PathTab,RCTModalHostViewController,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:10:25.035040000,user_engagement,null,RCTModalHostViewController,1476
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:10:25.037040128,screen_view,RCTModalHostViewController,UIViewController,null
mRY84FM1R7WFu8jDymW3eA,2023-09-22 13:11:33.710040064,screen_view,UIViewController,HomeTab,null
