0,1,2,3,4,5,6,7,8
null,null,null,null,null,null,null,null,null
UIViewController,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController
UIViewController,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController
Splash,Splash,Splash,Splash,Splash,Splash,Splash,Splash,Splash
OnboardingFirst,HomeTab,HomeTab,HomeTab,HomeTab,HomeTab,HomeTab,HomeTab,HomeTab
OnboardingLanguageSetting,RCTModalHostViewController,RCTModalHostViewController,RCTModalHostViewController,RCTModalHostViewController,RCTModalHostViewController,RCTModalHostViewController,RCTModalHostViewController,RCTModalHostViewController
OnboardingKoreanOptions,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController
HomeTab,MyTab,CollectionQuiz,ReviewTab,CurriculumDetail,ReviewTab,ReviewTab,ReviewTab,PushHistory
MyTab,MyTabSetting,HomeTab,RCTModalHostViewController,SnackPlayer,PlusOnlyTab,MyTab,RCTModalHostViewController,StreakResult
RCTModalHostViewController,MyTab,ReviewTab,UIViewController,RCTModalHostViewController,PathTab,ReviewTab,UIViewController,PushHistory
UIViewController,ReviewTab,RCTModalHostViewController,MyTab,UIViewController,HomeTab,PlusOnlyTab,MyTab,Player
Coupon,PlusOnlyTab,UIViewController,StreakResult,CurriculumDetail,PathTab,CurriculumDetail,BadgeList,Player
Splash,PathTab,MyTab,MyTab,Player,HomeTab,SnackPlayer,MyTab,CollectionQuiz
HomeTab,HomeTab,ReviewTab,MyTabSetting,Player,SpeakLecturePlayer,RCTModalHostViewController,ReviewTab,Player
ReviewTab,PathTab,PlusOnlyTab,MyTab,.,HomeTab,UIViewController,PlusOnlyTab,CollectionQuiz
MyTab,HomeTab,SpeakCourse,PlusOnlyTab,.,PlusOnlyTab,CurriculumDetail,PathTab,Player
MyTabSetting,.,SpeakLecturePlayer,PathTab,.,PathTab,CollectionQuiz,SnackPlayer,CollectionQuiz
MyTab,.,SpeakCourse,SnackPlayer,.,PlusOnlyTab,CurriculumDetail,PathTab,Player
MyTabSetting,.,Player,PathTab,.,PathTab,PlusOnlyTab,CollectionQuiz,CollectionQuiz
MyAccountChange,.,RCTModalHostViewController,RCTModalHostViewController,.,RCTModalHostViewController,PathTab,PathTab,Player
MyTabSetting,.,UIViewController,UIViewController,.,UIViewController,SnackPlayer,PathTabPlayer,PushHistory
MyTab,.,RCTModalHostViewController,RCTModalHostViewController,.,PushHistory,PathTab,RCTModalHostViewController,Player
PlusOnlyTab,.,UIViewController,UIViewController,.,StreakResult,CollectionQuiz,UIViewController,RCTModalHostViewController
ReviewTab,.,RCTModalHostViewController,CollectionQuiz,.,StreakSetting,PathTab,PathTab,UIViewController
PathTab,.,UIViewController,PathTab,.,StreakResult,PathTabPlayer,PathTabPlayer,PushHistory
HomeTab,.,CurriculumDetail,PathTabPlayer,.,PushHistory,RCTModalHostViewController,PathTab,Player
MyTab,.,RCTModalHostViewController,PathTab,.,CollectionQuiz,UIViewController,PathTabPlayer,PushHistory
MyTabSetting,.,UIViewController,PathTabPlayer,.,PushHistory,PathTab,PathTab,Player
.,.,Player,PathTab,.,StreakResult,PathTabPlayer,CollectionQuiz,PushHistory
