0,1,2,3
null,null,null,null
UIViewController,UIViewController,UIViewController,UIViewController
UIViewController,UIViewController,UIViewController,UIViewController
RCTModalHostViewController,Splash,Splash,Splash
UIViewController,OnboardingFirst,HomeTab,HomeTab
.,OnboardingLanguageSetting,RCTModalHostViewController,RCTModalHostViewController
.,OnboardingKoreanOptions,UIViewController,UIViewController
.,HomeTab,Splash,MyTab
.,RCTModalHostViewController,HomeTab,MyTabSetting
.,UIViewController,.,MyAccountChange
.,RCTModalHostViewController,.,null
.,SFAuthenticationViewController,.,.
.,RCTModalHostViewController,.,.
.,Coupon,.,.
.,UIViewController,.,.
.,RCTModalHostViewController,.,.
.,UIViewController,.,.
.,Splash,.,.
.,HomeTab,.,.
