0,1,2,3,4
null,null,null,null,null
UIViewController,UIViewController,UIViewController,UIViewController,UIViewController
UIViewController,UIViewController,UIViewController,UIViewController,UIViewController
Splash,Splash,Splash,Splash,Splash
OnboardingFirst,PathTab,PathTab,PathTab,PathTab
OnboardingLanguageSetting,RCTModalHostViewController,Error,Error,RCTModalHostViewController
OnboardingKoreanOptions,Splash,Splash,Splash,UIViewController
PathTabPlayer,UIViewController,PathTab,PathTab,SnackPlayer
.,PathTab,RCTModalHostViewController,SnackPlayer,PathTab
.,Coupon,.,.,RCTModalHostViewController
.,Splash,.,.,UIViewController
.,PathTab,.,.,CollectionQuiz
.,.,.,.,null
