0,1,2
null,null,null
UIViewController,UIViewController,UIViewController
UIViewController,UIViewController,UIViewController
Splash,Splash,Splash
OnboardingFirst,HomeTab,HomeTab
OnboardingLanguageSetting,MyTab,RCTModalHostViewController
OnboardingKoreanOptions,RCTModalHostViewController,UIViewController
HomeTab,UIViewController,PlusOnlyTab
Player,Splash,CurriculumDetail
RCTModalHostViewController,HomeTab,Player
HomeTab,PlusOnlyTab,CurriculumDetail
Splash,PathTab,Player
UIViewController,PathTabPlayer,CurriculumDetail
HomeTab,RCTModalHostViewController,CollectionQuiz
Player,UIViewController,CurriculumDetail
Player,PathTab,null
Player,RCTModalHostViewController,.
Player,UIViewController,.
Player,PlusOnlyTab,.
RCTModalHostViewController,Splash,.
UIViewController,HomeTab,.
Player,RCTModalHostViewController,.
Player,UIViewController,.
Player,.,.
Player,.,.
Player,.,.
Player,.,.
