0,1,2
null,null,null
UIViewController,UIViewController,UIViewController
UIViewController,UIViewController,UIViewController
Splash,Splash,Splash
OnboardingFirst,HomeTab,HomeTab
OnboardingLanguageSetting,RCTModalHostViewController,MyTab
OnboardingKoreanOptions,UIViewController,RCTModalHostViewController
HomeTab,PlusOnlyTab,UIViewController
MyTab,SpeakCourse,MyTabSetting
PlusOnlyTab,RCTModalHostViewController,null
CurriculumDetail,UIViewController,.
PlusOnlyTab,PlusOnlyTab,.
CurriculumDetail,MyTab,.
PlusOnlyTab,RCTModalHostViewController,.
SpeakCourse,UIViewController,.
PlusOnlyTab,RCTModalHostViewController,.
SpeakCourse,UIViewController,.
PlusOnlyTab,PlusOnlyTab,.
MyTab,HomeTab,.
HomeTab,MyTab,.
MyTab,MyTabSetting,.
ReviewTab,Splash,.
HomeTab,HomeTab,.
Splash,PathTab,.
HomeTab,RCTModalHostViewController,.
RCTModalHostViewController,UIViewController,.
UIViewController,ReviewTab,.
PathTab,PlusOnlyTab,.
PlusOnlyTab,SpeakCourse,.
.,SpeakLecturePlayer,.
.,SpeakLectureSpeaking,.
.,SpeakLecturePlayer,.
.,SpeakLectureSpeaking,.
.,SpeakLecturePlayer,.
