0,1,2,3
null,null,null,null
MainActivity,MainActivity,MainActivity,MainActivity
Splash,Splash,Splash,Splash
OnboardingFirst,HomeTab,HomeTab,HomeTab
OnboardingLanguageSetting,MyTab,Coupon,ReviewTab
OnboardingKoreanOptions,PlusOnlyTab,.,MyTab
HomeTab,PathTab,.,PathTab
PlusOnlyTab,MyTab,.,MyTab
MyTab,MyTabSetting,.,PlusOnlyTab
SignInHubActivity,MyTab,.,PathTab
MainActivity,StreakResult,.,SnackPlayer
ReviewTab,MyTab,.,.
PlusOnlyTab,ReviewTab,.,.
PathTab,PlusOnlyTab,.,.
MyTab,ReviewTab,.,.
PathTab,PathTab,.,.
.,HomeTab,.,.
.,PathTab,.,.
.,HomeTab,.,.
.,PathTab,.,.
.,PlusOnlyTab,.,.
.,ReviewTab,.,.
.,PlusOnlyTab,.,.
.,ReviewTab,.,.
.,MyTab,.,.
.,BadgeList,.,.
.,MyTab,.,.
.,MyTabSetting,.,.
.,MyTab,.,.
.,HomeTab,.,.
