0,1,2,3,4
null,null,null,null,null
UIViewController,UIViewController,UIViewController,UIViewController,UIViewController
UIViewController,UIViewController,UIViewController,UIViewController,UIViewController
Splash,Splash,Splash,.,Splash
OnboardingFirst,PathTab,PathTab,.,PathTab
OnboardingLanguageSetting,RCTModalHostViewController,RCTModalHostViewController,.,RCTModalHostViewController
OnboardingKoreanOptions,UIViewController,UIViewController,.,UIViewController
PathTabPlayer,PathTabPlayer,RCTModalHostViewController,.,PushHistory
PathTab,RCTModalHostViewController,UIViewController,.,PathTab
RCTModalHostViewController,UIViewController,Splash,.,MyTab
UIViewController,PathTab,PathTab,.,RCTModalHostViewController
MyTab,RCTModalHostViewController,RCTModalHostViewController,.,UIViewController
RCTModalHostViewController,UIViewController,.,.,ReviewTab
SFAuthenticationViewController,CollectionQuiz,.,.,PathTab
RCTModalHostViewController,PathTab,.,.,PlusOnlyTab
UIViewController,PathTabPlayer,.,.,SpeakCourse
RCTModalHostViewController,PathTab,.,.,SpeakLecturePlayer
UIViewController,PathTabPlayer,.,.,SpeakLectureSpeaking
MyTabSetting,PathTab,.,.,SpeakLecturePlayer
Coupon,RCTModalHostViewController,.,.,SpeakLectureSpeaking
Splash,UIViewController,.,.,SpeakLecturePlayer
PathTab,SpeakLecturePlayer,.,.,RCTModalHostViewController
MyTab,SpeakLectureSpeaking,.,.,UIViewController
RCTModalHostViewController,RCTModalHostViewController,.,.,SpeakCourse
UIViewController,UIViewController,.,.,PlusOnlyTab
PlusOnlyTab,SpeakLecturePlayer,.,.,PathTab
ReviewTab,PathTab,.,.,PathTabPlayer
HomeTab,RCTModalHostViewController,.,.,PathTab
PushHistory,UIViewController,.,.,PathTabPlayer
Splash,RCTModalHostViewController,.,.,PathTab
PathTab,UIViewController,.,.,CollectionQuiz
RCTModalHostViewController,PushHistory,.,.,PathTab
.,PathTab,.,.,PathTabPlayer
.,StreakResult,.,.,PathTab
.,PathTab,.,.,CollectionQuiz
.,ReviewTab,.,.,PathTab
.,RCTModalHostViewController,.,.,PathTabPlayer
.,UIViewController,.,.,PathTab
.,MyTab,.,.,PathTabPlayer
.,HomeTab,.,.,PathTab
.,PathTab,.,.,CollectionQuiz
.,PathTabPlayer,.,.,PathTab
.,PathTab,.,.,ReviewTab
.,PathTabPlayer,.,.,RCTModalHostViewController
.,PathTab,.,.,UIViewController
.,CollectionQuiz,.,.,RCTModalHostViewController
.,RCTModalHostViewController,.,.,UIViewController
.,UIViewController,.,.,Player
.,PathTab,.,.,StreakResult
.,PathTabPlayer,.,.,StreakResult
.,PathTab,.,.,RCTModalHostViewController
.,PathTabPlayer,.,.,UIViewController
.,PathTab,.,.,ReviewTab
.,SpeakLecturePlayer,.,.,MyTab
.,SpeakLectureSpeaking,.,.,HomeTab
.,SpeakLecturePlayer,.,.,SnackPlayer
.,PathTab,.,.,UIActivityViewController
.,CollectionQuiz,.,.,UIActivityContentViewController
.,PathTab,.,.,UIViewController
.,CollectionQuiz,.,.,HomeTab
.,PathTab,.,.,Player
.,RCTModalHostViewController,.,.,RCTModalHostViewController
.,UIViewController,.,.,UIViewController
.,StreakResult,.,.,Player
.,PathTab,.,.,Player
.,PathTabPlayer,.,.,ReviewTab
.,PathTab,.,.,MyTab
.,PathTabPlayer,.,.,PathTab
.,PathTab,.,.,PathTab
.,CollectionQuiz,.,.,PlusOnlyTab
.,PathTab,.,.,PathTab
.,PathTabPlayer,.,.,RCTModalHostViewController
.,PathTab,.,.,UIViewController
.,PathTabPlayer,.,.,RCTModalHostViewController
.,PathTab,.,.,UIViewController
.,SpeakLecturePlayer,.,.,SnackPlayer
.,SpeakLectureSpeaking,.,.,PathTab
.,SpeakLecturePlayer,.,.,CollectionQuiz
.,PathTab,.,.,PathTab
.,PathTabPlayer,.,.,PathTabPlayer
.,PathTab,.,.,PathTab
.,PathTabPlayer,.,.,PathTabPlayer
.,PathTab,.,.,PathTab
.,CollectionQuiz,.,.,CollectionQuiz
.,PathTab,.,.,PathTab
.,PathTabPlayer,.,.,CollectionQuiz
.,PathTab,.,.,PathTab
.,PathTabPlayer,.,.,ReviewTab
.,PathTab,.,.,PathTab
.,SpeakLecturePlayer,.,.,null
.,SpeakLectureSpeaking,.,.,.
.,SpeakLecturePlayer,.,.,.
.,PathTab,.,.,.
.,CollectionQuiz,.,.,.
.,PathTab,.,.,.
.,CollectionQuiz,.,.,.
.,PathTab,.,.,.
.,RCTModalHostViewController,.,.,.
.,UIViewController,.,.,.
.,PathTabPlayer,.,.,.
.,PathTab,.,.,.
.,PathTabPlayer,.,.,.
.,PathTab,.,.,.
.,CollectionQuiz,.,.,.
