0,1,2,3,4,5,6,7,8,9,10,11,12,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null
MainActivity,MainActivity,MainActivity,MainActivity,Splash,MainActivity,MainActivity,MainActivity,MainActivity,MainActivity,MainActivity,MainActivity,MainActivity,MainActivity
Splash,Splash,Splash,Splash,HomeTab,Splash,Splash,Splash,Splash,Splash,Splash,Splash,Splash,Splash
OnboardingFirst,HomeTab,OnboardingFirst,HomeTab,PlusOnlyTab,HomeTab,HomeTab,HomeTab,HomeTab,HomeTab,HomeTab,HomeTab,HomeTab,HomeTab
OnboardingLanguageSetting,PlusOnlyTab,OnboardingLanguageSetting,MyTab,CurriculumDetail,.,PlusOnlyTab,.,CurriculumDetail,Player,Player,ReviewTab,PushHistory,PlusOnlyTab
OnboardingKoreanOptions,PathTab,OnboardingKoreanOptions,PlusOnlyTab,SnackPlayer,.,HomeTab,.,HomeTab,HomeTab,HomeTab,PlusOnlyTab,HomeTab,CurriculumDetail
HomeTab,MyTab,HomeTab,.,CurriculumDetail,.,PushHistory,.,ReviewTab,SpeakLecturePlayer,.,CurriculumDetail,ReviewTab,PlusOnlyTab
MyTab,HomeTab,MyTab,.,SnackPlayer,.,Player,.,PlusOnlyTab,HomeTab,.,CollectionQuiz,MyTab,CurriculumDetail
SignInHubActivity,PushHistory,SignInHubActivity,.,CurriculumDetail,.,PushHistory,.,CurriculumDetail,SpeakLecturePlayer,.,CurriculumDetail,PlusOnlyTab,null
MainActivity,HomeTab,MainActivity,.,PlusOnlyTab,.,HomeTab,.,PlusOnlyTab,SpeakLectureSpeaking,.,Player,SpeakCourse,.
MyTabSetting,.,.,.,CurriculumDetail,.,StreakResult,.,CurriculumDetail,SpeakLecturePlayer,.,CurriculumDetail,SpeakLecturePlayer,.
MyTab,.,.,.,Player,.,HomeTab,.,ContinuousPlayer,HomeTab,.,Player,SpeakLectureSpeaking,.
Coupon,.,.,.,CurriculumDetail,.,.,.,CurriculumDetail,Player,.,CurriculumDetail,SpeakLecturePlayer,.
.,.,.,.,SpeakLecturePlayer,.,.,.,CollectionQuiz,.,.,.,SpeakCourse,.
.,.,.,.,CurriculumDetail,.,.,.,CurriculumDetail,.,.,.,SpeakLecturePlayer,.
.,.,.,.,Player,.,.,.,CollectionQuiz,.,.,.,SpeakLectureSpeaking,.
.,.,.,.,CurriculumDetail,.,.,.,CurriculumDetail,.,.,.,SpeakLecturePlayer,.
.,.,.,.,CollectionQuiz,.,.,.,PlusOnlyTab,.,.,.,SpeakCourse,.
.,.,.,.,CurriculumDetail,.,.,.,CurriculumDetail,.,.,.,SpeakLecturePlayer,.
.,.,.,.,PlusOnlyTab,.,.,.,Player,.,.,.,SpeakLectureSpeaking,.
.,.,.,.,MyTab,.,.,.,CurriculumDetail,.,.,.,SpeakLecturePlayer,.
.,.,.,.,HomeTab,.,.,.,Player,.,.,.,SpeakCourse,.
.,.,.,.,.,.,.,.,CurriculumDetail,.,.,.,SpeakLecturePlayer,.
.,.,.,.,.,.,.,.,PlusOnlyTab,.,.,.,SpeakLectureSpeaking,.
.,.,.,.,.,.,.,.,CurriculumDetail,.,.,.,SpeakLecturePlayer,.
.,.,.,.,.,.,.,.,PlusOnlyTab,.,.,.,SpeakCourse,.
.,.,.,.,.,.,.,.,CurriculumDetail,.,.,.,SpeakLecturePlayer,.
.,.,.,.,.,.,.,.,.,.,.,.,SpeakLectureSpeaking,.
.,.,.,.,.,.,.,.,.,.,.,.,SpeakLecturePlayer,.
.,.,.,.,.,.,.,.,.,.,.,.,SpeakCourse,.
.,.,.,.,.,.,.,.,.,.,.,.,PlusOnlyTab,.
.,.,.,.,.,.,.,.,.,.,.,.,StreakResult,.
.,.,.,.,.,.,.,.,.,.,.,.,PlusOnlyTab,.
.,.,.,.,.,.,.,.,.,.,.,.,CurriculumDetail,.
.,.,.,.,.,.,.,.,.,.,.,.,Player,.
.,.,.,.,.,.,.,.,.,.,.,.,CurriculumDetail,.
.,.,.,.,.,.,.,.,.,.,.,.,PlusOnlyTab,.
