auth_id,event_name,previous_screen_class,screen_class,use_time_msec,event_timestamp_w_timezone,fomatted_event_timestamp_w_timezone
3tv6xAvjSiOBvn6Pi8LkGw,first_open,null,UIViewController,null,1695166831225000,2023-09-19 23:40:31.224999936
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,UIViewController,1,1695166831225000,2023-09-19 23:40:31.224999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,null,UIViewController,null,1695166831577000,2023-09-19 23:40:31.576999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,UIViewController,null,1695166831681000,2023-09-19 23:40:31.680999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,Splash,null,1695166833109000,2023-09-19 23:40:33.108999936
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,UIViewController,1156,1695166833109000,2023-09-19 23:40:33.108999936
3tv6xAvjSiOBvn6Pi8LkGw,splash_visit,null,Splash,null,1695166833110000,2023-09-19 23:40:33.110000128
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Splash,OnboardingFirst,null,1695166833125000,2023-09-19 23:40:33.124999936
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,OnboardingFirst,332,1695166833442000,2023-09-19 23:40:33.441999872
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,OnboardingFirst,2060,1695166836906000,2023-09-19 23:40:36.905999872
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,OnboardingFirst,OnboardingLanguageSetting,null,1695166836906000,2023-09-19 23:40:36.905999872
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,OnboardingLanguageSetting,351,1695166837257000,2023-09-19 23:40:37.256999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null,1695166847610000,2023-09-19 23:40:47.609999872
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,OnboardingLanguageSetting,8575,1695166847610000,2023-09-19 23:40:47.609999872
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,OnboardingKoreanOptions,HomeTab,null,1695166867668000,2023-09-19 23:41:07.668000000
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,OnboardingKoreanOptions,20058,1695166867668000,2023-09-19 23:41:07.668000000
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,HomeTab,4465,1695166872134010,2023-09-19 23:41:12.134010112
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,MyTab,null,1695166872134010,2023-09-19 23:41:12.134010112
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,MyTab,2026,1695166874160010,2023-09-19 23:41:14.160009984
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,RCTModalHostViewController,null,1695166874161010,2023-09-19 23:41:14.161009920
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,RCTModalHostViewController,20677,1695166894838000,2023-09-19 23:41:34.838000128
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,null,1695166894839000,2023-09-19 23:41:34.839000064
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,UIViewController,26225,1695166921063000,2023-09-19 23:42:01.063000064
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,Coupon,null,1695166943739000,2023-09-19 23:42:23.739000064
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,UIViewController,1131,1695166943740000,2023-09-19 23:42:23.740000000
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,Coupon,3234,1695166946975000,2023-09-19 23:42:26.975000064
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,Coupon,1999,1695166966601000,2023-09-19 23:42:46.600999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Coupon,Splash,null,1695166977390000,2023-09-19 23:42:57.390000128
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,Coupon,8713,1695166977390000,2023-09-19 23:42:57.390000128
3tv6xAvjSiOBvn6Pi8LkGw,splash_visit,null,Splash,null,1695166977391000,2023-09-19 23:42:57.391000064
3tv6xAvjSiOBvn6Pi8LkGw,membership_user,null,Splash,null,1695166977391000,2023-09-19 23:42:57.391000064
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Splash,HomeTab,null,1695166977432000,2023-09-19 23:42:57.432000000
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,HomeTab,551,1695166977941000,2023-09-19 23:42:57.940999936
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,HomeTab,9,1695166978582000,2023-09-19 23:42:58.582000128
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,ReviewTab,null,1695166980418000,2023-09-19 23:43:00.417999872
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,ReviewTab,MyTab,null,1695166981045000,2023-09-19 23:43:01.044999936
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,ReviewTab,1489,1695166981045000,2023-09-19 23:43:01.044999936
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,MyTabSetting,null,1695166984449000,2023-09-19 23:43:04.448999936
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,MyTab,3404,1695166984450000,2023-09-19 23:43:04.449999872
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTabSetting,MyTab,null,1695166987332000,2023-09-19 23:43:07.332000000
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,MyTabSetting,2883,1695166987333000,2023-09-19 23:43:07.332999936
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,MyTab,3010,1695166990343000,2023-09-19 23:43:10.343000064
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,MyTabSetting,null,1695166990343000,2023-09-19 23:43:10.343000064
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTabSetting,MyAccountChange,null,1695166998479000,2023-09-19 23:43:18.479000064
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,MyTabSetting,8135,1695166998479000,2023-09-19 23:43:18.479000064
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,MyAccountChange,3870,1695167002350010,2023-09-19 23:43:22.350010112
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyAccountChange,MyTabSetting,null,1695167218899000,2023-09-19 23:46:58.899000064
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,MyAccountChange,2528,1695167218901000,2023-09-19 23:46:58.900999936
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,MyTabSetting,22306,1695167241208000,2023-09-19 23:47:21.208000000
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTabSetting,MyTab,null,1695167269005000,2023-09-19 23:47:49.004999936
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,MyTabSetting,26312,1695167269005000,2023-09-19 23:47:49.004999936
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,null,MyTab,1535,1695167270541000,2023-09-19 23:47:50.540999936
