auth_id,event_name,previous_screen_class,screen_class,use_time_msec,event_timestamp_w_timezone,fomatted_event_timestamp_w_timezone
ONG8kdYrQGqUP17PgZZFmA,user_engagement,null,UIViewController,1,1695424424059000,2023-09-22 23:13:44.059000064
ONG8kdYrQGqUP17PgZZFmA,first_open,null,UIViewController,null,1695424424059000,2023-09-22 23:13:44.059000064
ONG8kdYrQGqUP17PgZZFmA,screen_view,null,UIViewController,null,1695424424263000,2023-09-22 23:13:44.263000064
ONG8kdYrQGqUP17PgZZFmA,screen_view,UIViewController,UIViewController,null,1695424424324000,2023-09-22 23:13:44.324000000
ONG8kdYrQGqUP17PgZZFmA,screen_view,UIViewController,Splash,null,1695424425878000,2023-09-22 23:13:45.878000128
ONG8kdYrQGqUP17PgZZFmA,user_engagement,null,UIViewController,1046,1695424425878000,2023-09-22 23:13:45.878000128
ONG8kdYrQGqUP17PgZZFmA,splash_visit,null,Splash,null,1695424425879000,2023-09-22 23:13:45.879000064
ONG8kdYrQGqUP17PgZZFmA,screen_view,Splash,OnboardingFirst,null,1695424425886000,2023-09-22 23:13:45.886000128
ONG8kdYrQGqUP17PgZZFmA,user_engagement,null,OnboardingFirst,170,1695424426049000,2023-09-22 23:13:46.048999936
ONG8kdYrQGqUP17PgZZFmA,screen_view,OnboardingFirst,OnboardingLanguageSetting,null,1695424429027000,2023-09-22 23:13:49.027000064
ONG8kdYrQGqUP17PgZZFmA,user_engagement,null,OnboardingLanguageSetting,516,1695424429347000,2023-09-22 23:13:49.347000064
ONG8kdYrQGqUP17PgZZFmA,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null,1695424442094000,2023-09-22 23:14:02.094000128
ONG8kdYrQGqUP17PgZZFmA,user_engagement,null,OnboardingLanguageSetting,5218,1695424442095000,2023-09-22 23:14:02.095000064
ONG8kdYrQGqUP17PgZZFmA,user_engagement,null,OnboardingKoreanOptions,15013,1695424457109000,2023-09-22 23:14:17.108999936
