auth_id,event_name,previous_screen_class,screen_class,use_time_msec,event_timestamp_w_timezone,fomatted_event_timestamp_w_timezone
W1_cjyfLSEqpecix7LdImQ,user_engagement,null,UIViewController,1,1695049910766000,2023-09-18 15:11:50.766000128
W1_cjyfLSEqpecix7LdImQ,first_open,null,UIViewController,null,1695049910766000,2023-09-18 15:11:50.766000128
W1_cjyfLSEqpecix7LdImQ,screen_view,null,UIViewController,null,1695049910876000,2023-09-18 15:11:50.876000000
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,UIViewController,null,1695049910900000,2023-09-18 15:11:50.900000000
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,Splash,null,1695049912489000,2023-09-18 15:11:52.488999936
W1_cjyfLSEqpecix7LdImQ,splash_visit,null,Splash,null,1695049912489000,2023-09-18 15:11:52.488999936
W1_cjyfLSEqpecix7LdImQ,user_engagement,null,UIViewController,1398,1695049912489000,2023-09-18 15:11:52.488999936
W1_cjyfLSEqpecix7LdImQ,screen_view,Splash,OnboardingFirst,null,1695049912495000,2023-09-18 15:11:52.495000064
W1_cjyfLSEqpecix7LdImQ,user_engagement,null,OnboardingFirst,1468,1695049913957000,2023-09-18 15:11:53.956999936
W1_cjyfLSEqpecix7LdImQ,screen_view,OnboardingFirst,OnboardingLanguageSetting,null,1695049916584000,2023-09-18 15:11:56.584000000
W1_cjyfLSEqpecix7LdImQ,user_engagement,null,OnboardingFirst,2626,1695049916584000,2023-09-18 15:11:56.584000000
W1_cjyfLSEqpecix7LdImQ,user_engagement,null,OnboardingLanguageSetting,61,1695049916990000,2023-09-18 15:11:56.990000128
W1_cjyfLSEqpecix7LdImQ,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null,1695049926491000,2023-09-18 15:12:06.491000064
W1_cjyfLSEqpecix7LdImQ,user_engagement,null,OnboardingLanguageSetting,5780,1695049926492000,2023-09-18 15:12:06.492000000
W1_cjyfLSEqpecix7LdImQ,user_engagement,null,OnboardingKoreanOptions,12029,1695049938522000,2023-09-18 15:12:18.521999872
W1_cjyfLSEqpecix7LdImQ,screen_view,OnboardingKoreanOptions,HomeTab,null,1695049938522000,2023-09-18 15:12:18.521999872
W1_cjyfLSEqpecix7LdImQ,user_engagement,null,HomeTab,7433,1695049945955010,2023-09-18 15:12:25.955010048
W1_cjyfLSEqpecix7LdImQ,screen_view,HomeTab,MyTab,null,1695049945955010,2023-09-18 15:12:25.955010048
W1_cjyfLSEqpecix7LdImQ,screen_view,MyTab,ReviewTab,null,1695049946710010,2023-09-18 15:12:26.710010112
W1_cjyfLSEqpecix7LdImQ,user_engagement,null,ReviewTab,1626,1695049947581010,2023-09-18 15:12:27.581009920
W1_cjyfLSEqpecix7LdImQ,screen_view,ReviewTab,PlusOnlyTab,null,1695049947581010,2023-09-18 15:12:27.581009920
W1_cjyfLSEqpecix7LdImQ,screen_view,PlusOnlyTab,PathTab,null,1695049947920010,2023-09-18 15:12:27.920009984
W1_cjyfLSEqpecix7LdImQ,path_tab_visit,null,PathTab,null,1695049947995010,2023-09-18 15:12:27.995010048
W1_cjyfLSEqpecix7LdImQ,screen_view,PathTab,HomeTab,null,1695049948328020,2023-09-18 15:12:28.328019968
W1_cjyfLSEqpecix7LdImQ,screen_view,HomeTab,MyTab,null,1695049949022020,2023-09-18 15:12:29.022020096
W1_cjyfLSEqpecix7LdImQ,user_engagement,null,HomeTab,1440,1695049949022020,2023-09-18 15:12:29.022020096
W1_cjyfLSEqpecix7LdImQ,user_engagement,null,MyTab,1432,1695049950454020,2023-09-18 15:12:30.454020096
W1_cjyfLSEqpecix7LdImQ,screen_view,MyTab,RCTModalHostViewController,null,1695049950455020,2023-09-18 15:12:30.455020032
W1_cjyfLSEqpecix7LdImQ,user_engagement,null,RCTModalHostViewController,8641,1695049959096020,2023-09-18 15:12:39.096019968
W1_cjyfLSEqpecix7LdImQ,screen_view,RCTModalHostViewController,UIViewController,null,1695050011392000,2023-09-18 15:13:31.392000000
W1_cjyfLSEqpecix7LdImQ,user_engagement,null,RCTModalHostViewController,20073,1695050011392000,2023-09-18 15:13:31.392000000
W1_cjyfLSEqpecix7LdImQ,user_engagement,null,UIViewController,2668,1695050014061000,2023-09-18 15:13:34.060999936
W1_cjyfLSEqpecix7LdImQ,screen_view,UIViewController,RCTModalHostViewController,null,1695050014062000,2023-09-18 15:13:34.062000128
W1_cjyfLSEqpecix7LdImQ,user_engagement,null,RCTModalHostViewController,2563,1695050016624000,2023-09-18 15:13:36.624000000
