auth_id,event_name,previous_screen_class,screen_class,use_time_msec,event_timestamp_w_timezone,fomatted_event_timestamp_w_timezone
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,UIViewController,1,1695047414561000,2023-09-18 14:30:14.560999936
nPKbqr0XR0Kn8Jz8nj35Kw,first_open,null,UIViewController,null,1695047414561000,2023-09-18 14:30:14.560999936
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,null,UIViewController,null,1695047414961000,2023-09-18 14:30:14.960999936
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,UIViewController,UIViewController,null,1695047415077000,2023-09-18 14:30:15.076999936
nPKbqr0XR0Kn8Jz8nj35Kw,splash_visit,null,Splash,null,1695047416544000,2023-09-18 14:30:16.544000000
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,UIViewController,Splash,null,1695047416544000,2023-09-18 14:30:16.544000000
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,Splash,OnboardingFirst,null,1695047416553000,2023-09-18 14:30:16.552999936
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,OnboardingFirst,900,1695047416704000,2023-09-18 14:30:16.704000000
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,OnboardingFirst,OnboardingLanguageSetting,null,1695047418614000,2023-09-18 14:30:18.614000128
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,OnboardingLanguageSetting,791,1695047418968000,2023-09-18 14:30:18.968000000
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,OnboardingLanguageSetting,15280,1695047435716000,2023-09-18 14:30:35.716000000
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null,1695047435716000,2023-09-18 14:30:35.716000000
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,OnboardingKoreanOptions,5565,1695047441282000,2023-09-18 14:30:41.281999872
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,OnboardingKoreanOptions,HomeTab,null,1695047441282000,2023-09-18 14:30:41.281999872
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,HomeTab,MyTab,null,1695047445292010,2023-09-18 14:30:45.292009984
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,HomeTab,4010,1695047445292010,2023-09-18 14:30:45.292009984
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,MyTab,RCTModalHostViewController,null,1695047447477010,2023-09-18 14:30:47.477009920
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,MyTab,2184,1695047447477010,2023-09-18 14:30:47.477009920
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,RCTModalHostViewController,7784,1695047455261010,2023-09-18 14:30:55.261009920
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,RCTModalHostViewController,RCTAlertController,null,1695047458677000,2023-09-18 14:30:58.676999936
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,RCTAlertController,1155,1695047459832000,2023-09-18 14:30:59.832000000
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,RCTAlertController,UIViewController,null,1695047459834000,2023-09-18 14:30:59.833999872
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,UIViewController,UIViewController,null,1695047459836000,2023-09-18 14:30:59.836000000
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,UIViewController,RCTModalHostViewController,null,1695047459897000,2023-09-18 14:30:59.896999936
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,RCTModalHostViewController,10083,1695047469916000,2023-09-18 14:31:09.916000000
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,RCTModalHostViewController,RCTAlertController,null,1695047506305000,2023-09-18 14:31:46.304999936
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,RCTAlertController,2054,1695047508292000,2023-09-18 14:31:48.292000000
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,RCTAlertController,UIViewController,null,1695047508294000,2023-09-18 14:31:48.294000128
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,UIViewController,UIViewController,null,1695047508296000,2023-09-18 14:31:48.296000000
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,UIViewController,RCTModalHostViewController,null,1695047508352000,2023-09-18 14:31:48.352000000
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,RCTModalHostViewController,19138,1695047527430000,2023-09-18 14:32:07.430000128
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,RCTModalHostViewController,RCTAlertController,null,1695047527430010,2023-09-18 14:32:07.430010112
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,RCTAlertController,3771,1695047531202010,2023-09-18 14:32:11.202010112
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,RCTAlertController,UIViewController,null,1695047531204010,2023-09-18 14:32:11.204009984
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,UIViewController,RCTModalHostViewController,null,1695047531206010,2023-09-18 14:32:11.206010112
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,RCTModalHostViewController,14707,1695047545910000,2023-09-18 14:32:25.910000128
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,RCTModalHostViewController,Coupon,null,1695047545910000,2023-09-18 14:32:25.910000128
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,Coupon,UIViewController,null,1695047546067000,2023-09-18 14:32:26.067000064
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,UIViewController,2172,1695047548083000,2023-09-18 14:32:28.083000064
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,UIViewController,2273,1695047553383000,2023-09-18 14:32:33.383000064
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,UIViewController,147,1695047564585000,2023-09-18 14:32:44.584999936
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,UIViewController,1967,1695047578198000,2023-09-18 14:32:58.198000128
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,UIViewController,3269,1695047594058000,2023-09-18 14:33:14.057999872
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,UIViewController,268,1695047596296000,2023-09-18 14:33:16.296000000
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,UIViewController,MyTab,null,1695047633320000,2023-09-18 14:33:53.320000000
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,UIViewController,1073,1695047633321000,2023-09-18 14:33:53.320999936
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,MyTab,MyTabSetting,null,1695047638294000,2023-09-18 14:33:58.294000128
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,MyTab,4973,1695047638295000,2023-09-18 14:33:58.295000064
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,MyTabSetting,MyTab,null,1695047642575000,2023-09-18 14:34:02.575000064
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,MyTabSetting,4280,1695047642576000,2023-09-18 14:34:02.576000000
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,MyTab,2026,1695047644602000,2023-09-18 14:34:04.601999872
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,MyTab,HomeTab,null,1695047644602010,2023-09-18 14:34:04.602010112
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,HomeTab,ReviewTab,null,1695047645960010,2023-09-18 14:34:05.960009984
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,HomeTab,1357,1695047645960010,2023-09-18 14:34:05.960009984
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,ReviewTab,MyTab,null,1695047647028010,2023-09-18 14:34:07.028009984
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,ReviewTab,1068,1695047647029010,2023-09-18 14:34:07.029009920
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,MyTab,4034,1695047651063010,2023-09-18 14:34:11.063010048
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,MyTab,MyTabSetting,null,1695047651063020,2023-09-18 14:34:11.063020032
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,MyTabSetting,MyTab,null,1695047654965020,2023-09-18 14:34:14.965019904
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,MyTabSetting,3901,1695047654965020,2023-09-18 14:34:14.965019904
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,MyTab,761,1695047655727020,2023-09-18 14:34:15.727020032
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,MyTab,HomeTab,null,1695047664138000,2023-09-18 14:34:24.137999872
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,HomeTab,Player,null,1695047669597000,2023-09-18 14:34:29.596999936
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,HomeTab,5746,1695047669598000,2023-09-18 14:34:29.598000128
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,Player,39366,1695047708964000,2023-09-18 14:35:08.964000000
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,Player,515,1695047757600000,2023-09-18 14:35:57.600000000
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,null,UIViewController,null,1695052608727000,2023-09-18 15:56:48.727000064
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,UIViewController,UIViewController,null,1695052608753000,2023-09-18 15:56:48.752999936
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,UIViewController,Splash,null,1695052609150000,2023-09-18 15:56:49.150000128
nPKbqr0XR0Kn8Jz8nj35Kw,splash_visit,null,Splash,null,1695052609150000,2023-09-18 15:56:49.150000128
nPKbqr0XR0Kn8Jz8nj35Kw,screen_view,Splash,HomeTab,null,1695052609177000,2023-09-18 15:56:49.176999936
nPKbqr0XR0Kn8Jz8nj35Kw,user_engagement,null,HomeTab,1191,1695052610038000,2023-09-18 15:56:50.038000128
