auth_id,event_name,previous_screen_class,screen_class,use_time_msec,event_timestamp_w_timezone,fomatted_event_timestamp_w_timezone
Wma7L57WQgGc-9ivrhoG4A,first_open,null,UIViewController,null,1695046665403000,2023-09-18 14:17:45.403000064
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,UIViewController,1,1695046665403000,2023-09-18 14:17:45.403000064
Wma7L57WQgGc-9ivrhoG4A,screen_view,null,UIViewController,null,1695046665542000,2023-09-18 14:17:45.542000128
Wma7L57WQgGc-9ivrhoG4A,screen_view,UIViewController,UIViewController,null,1695046665584000,2023-09-18 14:17:45.584000000
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,UIViewController,2018,1695046667765000,2023-09-18 14:17:47.764999936
Wma7L57WQgGc-9ivrhoG4A,splash_visit,null,Splash,null,1695046668482000,2023-09-18 14:17:48.481999872
Wma7L57WQgGc-9ivrhoG4A,screen_view,UIViewController,Splash,null,1695046668482000,2023-09-18 14:17:48.481999872
Wma7L57WQgGc-9ivrhoG4A,screen_view,Splash,OnboardingFirst,null,1695046668490000,2023-09-18 14:17:48.489999872
Wma7L57WQgGc-9ivrhoG4A,screen_view,OnboardingFirst,OnboardingLanguageSetting,null,1695046670290000,2023-09-18 14:17:50.289999872
Wma7L57WQgGc-9ivrhoG4A,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null,1695046677567000,2023-09-18 14:17:57.567000064
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,OnboardingLanguageSetting,7431,1695046677567000,2023-09-18 14:17:57.567000064
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,OnboardingKoreanOptions,11073,1695046688640000,2023-09-18 14:18:08.640000000
Wma7L57WQgGc-9ivrhoG4A,screen_view,OnboardingKoreanOptions,HomeTab,null,1695046688640000,2023-09-18 14:18:08.640000000
Wma7L57WQgGc-9ivrhoG4A,screen_view,HomeTab,MyTab,null,1695046690787010,2023-09-18 14:18:10.787010048
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,HomeTab,2146,1695046690788010,2023-09-18 14:18:10.788009984
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,MyTab,1836,1695046692624010,2023-09-18 14:18:12.624009984
Wma7L57WQgGc-9ivrhoG4A,screen_view,MyTab,RCTModalHostViewController,null,1695046692625020,2023-09-18 14:18:12.625019904
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,RCTModalHostViewController,1881,1695046694506020,2023-09-18 14:18:14.506020096
Wma7L57WQgGc-9ivrhoG4A,screen_view,RCTModalHostViewController,SFAuthenticationViewController,null,1695046695753000,2023-09-18 14:18:15.752999936
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,SFAuthenticationViewController,36882,1695046732444000,2023-09-18 14:18:52.444000000
Wma7L57WQgGc-9ivrhoG4A,screen_view,SFAuthenticationViewController,RCTModalHostViewController,null,1695046732446000,2023-09-18 14:18:52.446000128
Wma7L57WQgGc-9ivrhoG4A,screen_view,RCTModalHostViewController,UIViewController,null,1695046733277000,2023-09-18 14:18:53.276999936
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,UIViewController,1162,1695046733606000,2023-09-18 14:18:53.606000128
Wma7L57WQgGc-9ivrhoG4A,screen_view,UIViewController,RCTModalHostViewController,null,1695046733607000,2023-09-18 14:18:53.607000064
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,RCTModalHostViewController,14664,1695046748271000,2023-09-18 14:19:08.271000064
Wma7L57WQgGc-9ivrhoG4A,screen_view,RCTModalHostViewController,UIViewController,null,1695046748272000,2023-09-18 14:19:08.272000000
Wma7L57WQgGc-9ivrhoG4A,screen_view,UIViewController,HomeTab,null,1695046751417000,2023-09-18 14:19:11.416999936
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,UIViewController,3146,1695046751417000,2023-09-18 14:19:11.416999936
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,HomeTab,63766,1695046815184000,2023-09-18 14:20:15.184000000
Wma7L57WQgGc-9ivrhoG4A,screen_view,HomeTab,PathTab,null,1695046815184000,2023-09-18 14:20:15.184000000
Wma7L57WQgGc-9ivrhoG4A,path_tab_visit,null,PathTab,null,1695046815383000,2023-09-18 14:20:15.383000064
Wma7L57WQgGc-9ivrhoG4A,screen_view,PathTab,PlusOnlyTab,null,1695046817463010,2023-09-18 14:20:17.463010048
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,PathTab,2279,1695046817463010,2023-09-18 14:20:17.463010048
Wma7L57WQgGc-9ivrhoG4A,screen_view,PlusOnlyTab,MyTab,null,1695046820990010,2023-09-18 14:20:20.990010112
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,PlusOnlyTab,3526,1695046820990010,2023-09-18 14:20:20.990010112
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,MyTab,5470,1695046826460010,2023-09-18 14:20:26.460009984
Wma7L57WQgGc-9ivrhoG4A,screen_view,MyTab,Splash,null,1695055280934000,2023-09-18 16:41:20.934000128
Wma7L57WQgGc-9ivrhoG4A,splash_visit,null,Splash,null,1695055280934000,2023-09-18 16:41:20.934000128
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,MyTab,4968,1695055280934000,2023-09-18 16:41:20.934000128
Wma7L57WQgGc-9ivrhoG4A,membership_user,null,Splash,null,1695055280934000,2023-09-18 16:41:20.934000128
Wma7L57WQgGc-9ivrhoG4A,screen_view,Splash,HomeTab,null,1695055280959000,2023-09-18 16:41:20.959000064
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,HomeTab,5281,1695055286215000,2023-09-18 16:41:26.215000064
Wma7L57WQgGc-9ivrhoG4A,screen_view,HomeTab,PushHistory,null,1695055286215010,2023-09-18 16:41:26.215010048
Wma7L57WQgGc-9ivrhoG4A,screen_view,PushHistory,HomeTab,null,1695055288594010,2023-09-18 16:41:28.594010112
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,PushHistory,2379,1695055288595010,2023-09-18 16:41:28.595010048
Wma7L57WQgGc-9ivrhoG4A,screen_view,HomeTab,MyTab,null,1695055289611010,2023-09-18 16:41:29.611010048
Wma7L57WQgGc-9ivrhoG4A,user_engagement,null,HomeTab,1016,1695055289612010,2023-09-18 16:41:29.612009984
