auth_id,event_name,previous_screen_class,screen_class,use_time_msec,event_timestamp_w_timezone,fomatted_event_timestamp_w_timezone
X89zKFz4QC-M5jwo1iLI4g,first_open,null,null,1,1695045905524000,2023-09-18 14:05:05.524000000
X89zKFz4QC-M5jwo1iLI4g,screen_view,null,MainActivity,1343,1695045905767000,2023-09-18 14:05:05.767000064
X89zKFz4QC-M5jwo1iLI4g,user_engagement,null,MainActivity,1406,1695045907160000,2023-09-18 14:05:07.160000000
X89zKFz4QC-M5jwo1iLI4g,screen_view,MainActivity,Splash,40,1695045938647000,2023-09-18 14:05:38.647000064
X89zKFz4QC-M5jwo1iLI4g,splash_visit,null,Splash,null,1695045938647000,2023-09-18 14:05:38.647000064
X89zKFz4QC-M5jwo1iLI4g,screen_view,Splash,OnboardingFirst,1185,1695045938686000,2023-09-18 14:05:38.686000128
X89zKFz4QC-M5jwo1iLI4g,screen_view,OnboardingFirst,OnboardingLanguageSetting,7423,1695045939872000,2023-09-18 14:05:39.872000000
X89zKFz4QC-M5jwo1iLI4g,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,11593,1695045948675010,2023-09-18 14:05:48.675010048
X89zKFz4QC-M5jwo1iLI4g,screen_view,OnboardingKoreanOptions,HomeTab,13122,1695045960268010,2023-09-18 14:06:00.268009984
X89zKFz4QC-M5jwo1iLI4g,screen_view,HomeTab,PlusOnlyTab,2065,1695045973390010,2023-09-18 14:06:13.390010112
X89zKFz4QC-M5jwo1iLI4g,screen_view,PlusOnlyTab,MyTab,5060,1695045975454020,2023-09-18 14:06:15.454020096
X89zKFz4QC-M5jwo1iLI4g,screen_view,MyTab,SignInHubActivity,null,1695045980558020,2023-09-18 14:06:20.558020096
X89zKFz4QC-M5jwo1iLI4g,screen_view,SignInHubActivity,MainActivity,22410,1695045993218020,2023-09-18 14:06:33.218020096
X89zKFz4QC-M5jwo1iLI4g,screen_view,MainActivity,ReviewTab,1792,1695046015621000,2023-09-18 14:06:55.620999936
X89zKFz4QC-M5jwo1iLI4g,screen_view,ReviewTab,PlusOnlyTab,627,1695046017413000,2023-09-18 14:06:57.412999936
X89zKFz4QC-M5jwo1iLI4g,screen_view,PlusOnlyTab,PathTab,511,1695046018041000,2023-09-18 14:06:58.040999936
X89zKFz4QC-M5jwo1iLI4g,path_tab_visit,null,PathTab,null,1695046018221000,2023-09-18 14:06:58.220999936
X89zKFz4QC-M5jwo1iLI4g,screen_view,PathTab,MyTab,616,1695046018552010,2023-09-18 14:06:58.552009984
