auth_id,event_name,previous_screen_class,screen_class,use_time_msec,event_timestamp_w_timezone,fomatted_event_timestamp_w_timezone
dvFjgBzQSu2S8De95BYqmg,first_open,null,null,1,1695233063410000,2023-09-20 18:04:23.409999872
dvFjgBzQSu2S8De95BYqmg,screen_view,null,MainActivity,2550,1695233063633000,2023-09-20 18:04:23.632999936
dvFjgBzQSu2S8De95BYqmg,splash_visit,null,Splash,null,1695233066183000,2023-09-20 18:04:26.183000064
dvFjgBzQSu2S8De95BYqmg,screen_view,MainActivity,Splash,45,1695233066183000,2023-09-20 18:04:26.183000064
dvFjgBzQSu2S8De95BYqmg,screen_view,Splash,OnboardingFirst,2236,1695233066228000,2023-09-20 18:04:26.228000000
dvFjgBzQSu2S8De95BYqmg,screen_view,OnboardingFirst,OnboardingLanguageSetting,5486,1695233068463000,2023-09-20 18:04:28.463000064
dvFjgBzQSu2S8De95BYqmg,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,7568,1695233075302000,2023-09-20 18:04:35.302000128
dvFjgBzQSu2S8De95BYqmg,screen_view,OnboardingKoreanOptions,HomeTab,2874,1695233082875000,2023-09-20 18:04:42.875000064
dvFjgBzQSu2S8De95BYqmg,screen_view,HomeTab,MyTab,5041,1695233085749000,2023-09-20 18:04:45.748999936
dvFjgBzQSu2S8De95BYqmg,screen_view,MyTab,SignInHubActivity,null,1695233090828010,2023-09-20 18:04:50.828009984
dvFjgBzQSu2S8De95BYqmg,screen_view,SignInHubActivity,MainActivity,24539,1695233105066010,2023-09-20 18:05:05.066010112
dvFjgBzQSu2S8De95BYqmg,screen_view,MainActivity,MyTabSetting,11029,1695233129598000,2023-09-20 18:05:29.598000128
dvFjgBzQSu2S8De95BYqmg,user_engagement,null,MyTabSetting,44694,1695233174297000,2023-09-20 18:06:14.296999936
dvFjgBzQSu2S8De95BYqmg,user_engagement,null,MyTabSetting,1751,1695233177044000,2023-09-20 18:06:17.044000000
dvFjgBzQSu2S8De95BYqmg,screen_view,MyTabSetting,MyTab,236,1695233221404010,2023-09-20 18:07:01.404009984
dvFjgBzQSu2S8De95BYqmg,user_engagement,null,MyTab,1963,1695233223369010,2023-09-20 18:07:03.369009920
dvFjgBzQSu2S8De95BYqmg,screen_view,MyTab,Coupon,null,1695233229692010,2023-09-20 18:07:09.692009984
dvFjgBzQSu2S8De95BYqmg,user_engagement,null,Coupon,11840,1695233241534010,2023-09-20 18:07:21.534010112
dvFjgBzQSu2S8De95BYqmg,screen_view,null,MainActivity,471,1695233241908010,2023-09-20 18:07:21.908009984
dvFjgBzQSu2S8De95BYqmg,splash_visit,null,Splash,null,1695233242377000,2023-09-20 18:07:22.376999936
dvFjgBzQSu2S8De95BYqmg,membership_user,null,Splash,null,1695233242377000,2023-09-20 18:07:22.376999936
dvFjgBzQSu2S8De95BYqmg,screen_view,MainActivity,Splash,359,1695233242377000,2023-09-20 18:07:22.376999936
dvFjgBzQSu2S8De95BYqmg,screen_view,Splash,HomeTab,3010,1695233242737000,2023-09-20 18:07:22.736999936
dvFjgBzQSu2S8De95BYqmg,screen_view,HomeTab,PlusOnlyTab,7115,1695233245746000,2023-09-20 18:07:25.745999872
dvFjgBzQSu2S8De95BYqmg,screen_view,PlusOnlyTab,PathTab,4017,1695233252860000,2023-09-20 18:07:32.860000000
dvFjgBzQSu2S8De95BYqmg,path_tab_visit,null,PathTab,null,1695233253013010,2023-09-20 18:07:33.013009920
dvFjgBzQSu2S8De95BYqmg,screen_view,PathTab,MyTab,4836,1695233256879010,2023-09-20 18:07:36.879010048
dvFjgBzQSu2S8De95BYqmg,screen_view,MyTab,HomeTab,1421,1695233261715010,2023-09-20 18:07:41.715010048
dvFjgBzQSu2S8De95BYqmg,screen_view,HomeTab,PushHistory,4669,1695233263135010,2023-09-20 18:07:43.135010048
dvFjgBzQSu2S8De95BYqmg,screen_view,PushHistory,HomeTab,696,1695233267804010,2023-09-20 18:07:47.804009984
dvFjgBzQSu2S8De95BYqmg,user_engagement,null,HomeTab,2287,1695233270094010,2023-09-20 18:07:50.094010112
dvFjgBzQSu2S8De95BYqmg,first_open,null,null,1,1695233342187000,2023-09-20 18:09:02.187000064
dvFjgBzQSu2S8De95BYqmg,screen_view,null,MainActivity,2578,1695233342520000,2023-09-20 18:09:02.520000000
dvFjgBzQSu2S8De95BYqmg,splash_visit,null,Splash,null,1695233345075000,2023-09-20 18:09:05.075000064
dvFjgBzQSu2S8De95BYqmg,screen_view,MainActivity,Splash,54,1695233345075000,2023-09-20 18:09:05.075000064
dvFjgBzQSu2S8De95BYqmg,screen_view,Splash,OnboardingFirst,1954,1695233345129000,2023-09-20 18:09:05.128999936
dvFjgBzQSu2S8De95BYqmg,screen_view,OnboardingFirst,OnboardingLanguageSetting,2700,1695233347082000,2023-09-20 18:09:07.081999872
dvFjgBzQSu2S8De95BYqmg,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,2905,1695233351429010,2023-09-20 18:09:11.429009920
dvFjgBzQSu2S8De95BYqmg,screen_view,OnboardingKoreanOptions,HomeTab,2192,1695233354334000,2023-09-20 18:09:14.334000128
dvFjgBzQSu2S8De95BYqmg,screen_view,HomeTab,MyTab,4101,1695233356527000,2023-09-20 18:09:16.527000064
dvFjgBzQSu2S8De95BYqmg,screen_view,MyTab,SignInHubActivity,null,1695233360691000,2023-09-20 18:09:20.691000064
dvFjgBzQSu2S8De95BYqmg,screen_view,SignInHubActivity,MainActivity,null,1695233370846010,2023-09-20 18:09:30.846010112
dvFjgBzQSu2S8De95BYqmg,user_engagement,null,MainActivity,6455,1695233377273000,2023-09-20 18:09:37.272999936
dvFjgBzQSu2S8De95BYqmg,screen_view,null,MainActivity,1385,1695233378422000,2023-09-20 18:09:38.422000128
dvFjgBzQSu2S8De95BYqmg,screen_view,MainActivity,Splash,206,1695233379652000,2023-09-20 18:09:39.652000000
dvFjgBzQSu2S8De95BYqmg,splash_visit,null,Splash,null,1695233379652000,2023-09-20 18:09:39.652000000
dvFjgBzQSu2S8De95BYqmg,membership_user,null,Splash,null,1695233379652000,2023-09-20 18:09:39.652000000
dvFjgBzQSu2S8De95BYqmg,screen_view,Splash,HomeTab,3198,1695233379858000,2023-09-20 18:09:39.857999872
dvFjgBzQSu2S8De95BYqmg,screen_view,HomeTab,MyTab,4515,1695233383056000,2023-09-20 18:09:43.056000000
dvFjgBzQSu2S8De95BYqmg,screen_view,MyTab,PlusOnlyTab,null,1695233387572010,2023-09-20 18:09:47.572009984
dvFjgBzQSu2S8De95BYqmg,user_engagement,null,PlusOnlyTab,20940,1695233408518010,2023-09-20 18:10:08.518010112
dvFjgBzQSu2S8De95BYqmg,screen_view,HomeTab,Splash,107,1695239317505000,2023-09-20 19:48:37.504999936
dvFjgBzQSu2S8De95BYqmg,screen_view,Splash,HomeTab,7689,1695239317613000,2023-09-20 19:48:37.612999936
dvFjgBzQSu2S8De95BYqmg,screen_view,HomeTab,PlusOnlyTab,15724,1695239325302000,2023-09-20 19:48:45.302000128
dvFjgBzQSu2S8De95BYqmg,screen_view,PlusOnlyTab,CurriculumDetail,14741,1695239341025000,2023-09-20 19:49:01.024999936
dvFjgBzQSu2S8De95BYqmg,screen_view,CurriculumDetail,SnackPlayer,11888,1695239355767000,2023-09-20 19:49:15.767000064
dvFjgBzQSu2S8De95BYqmg,screen_view,SnackPlayer,CurriculumDetail,2989,1695239367654000,2023-09-20 19:49:27.654000128
dvFjgBzQSu2S8De95BYqmg,screen_view,CurriculumDetail,SnackPlayer,50843,1695239370643010,2023-09-20 19:49:30.643010048
dvFjgBzQSu2S8De95BYqmg,screen_view,SnackPlayer,CurriculumDetail,14951,1695239421486010,2023-09-20 19:50:21.486010112
dvFjgBzQSu2S8De95BYqmg,screen_view,CurriculumDetail,PlusOnlyTab,5613,1695239436437010,2023-09-20 19:50:36.437009920
dvFjgBzQSu2S8De95BYqmg,screen_view,PlusOnlyTab,CurriculumDetail,8634,1695239442051010,2023-09-20 19:50:42.051010048
dvFjgBzQSu2S8De95BYqmg,screen_view,CurriculumDetail,Player,34880,1695239450684020,2023-09-20 19:50:50.684019968
dvFjgBzQSu2S8De95BYqmg,screen_view,Player,CurriculumDetail,861,1695239485561000,2023-09-20 19:51:25.560999936
dvFjgBzQSu2S8De95BYqmg,screen_view,CurriculumDetail,SpeakLecturePlayer,95935,1695239486425000,2023-09-20 19:51:26.424999936
dvFjgBzQSu2S8De95BYqmg,screen_view,SpeakLecturePlayer,CurriculumDetail,10741,1695239582360010,2023-09-20 19:53:02.360009984
dvFjgBzQSu2S8De95BYqmg,screen_view,CurriculumDetail,Player,24337,1695239593101010,2023-09-20 19:53:13.101009920
dvFjgBzQSu2S8De95BYqmg,screen_view,Player,CurriculumDetail,1796,1695239617439000,2023-09-20 19:53:37.439000064
dvFjgBzQSu2S8De95BYqmg,screen_view,CurriculumDetail,CollectionQuiz,99277,1695239619235000,2023-09-20 19:53:39.235000064
dvFjgBzQSu2S8De95BYqmg,screen_view,CollectionQuiz,CurriculumDetail,12642,1695239718511000,2023-09-20 19:55:18.511000064
dvFjgBzQSu2S8De95BYqmg,screen_view,CurriculumDetail,PlusOnlyTab,16610,1695239731153000,2023-09-20 19:55:31.152999936
dvFjgBzQSu2S8De95BYqmg,screen_view,PlusOnlyTab,MyTab,11392,1695239747763000,2023-09-20 19:55:47.763000064
dvFjgBzQSu2S8De95BYqmg,screen_view,MyTab,HomeTab,null,1695239759156000,2023-09-20 19:55:59.156000000
dvFjgBzQSu2S8De95BYqmg,user_engagement,null,HomeTab,14149,1695239773306010,2023-09-20 19:56:13.306010112
dvFjgBzQSu2S8De95BYqmg,screen_view,null,MainActivity,631,1695248264756000,2023-09-20 22:17:44.756000000
dvFjgBzQSu2S8De95BYqmg,screen_view,MainActivity,Splash,235,1695248265371000,2023-09-20 22:17:45.371000064
dvFjgBzQSu2S8De95BYqmg,splash_visit,null,Splash,null,1695248265371000,2023-09-20 22:17:45.371000064
dvFjgBzQSu2S8De95BYqmg,membership_user,null,Splash,null,1695248265371000,2023-09-20 22:17:45.371000064
dvFjgBzQSu2S8De95BYqmg,screen_view,Splash,HomeTab,null,1695248265608000,2023-09-20 22:17:45.608000000
dvFjgBzQSu2S8De95BYqmg,user_engagement,null,HomeTab,27723,1695248293332000,2023-09-20 22:18:13.332000000
dvFjgBzQSu2S8De95BYqmg,screen_view,null,MainActivity,992,1695307034302000,2023-09-21 14:37:14.302000128
dvFjgBzQSu2S8De95BYqmg,membership_user,null,Splash,null,1695307035292000,2023-09-21 14:37:15.292000000
dvFjgBzQSu2S8De95BYqmg,screen_view,MainActivity,Splash,328,1695307035292000,2023-09-21 14:37:15.292000000
dvFjgBzQSu2S8De95BYqmg,splash_visit,null,Splash,null,1695307035292000,2023-09-21 14:37:15.292000000
dvFjgBzQSu2S8De95BYqmg,screen_view,Splash,HomeTab,13826,1695307035620000,2023-09-21 14:37:15.620000000
dvFjgBzQSu2S8De95BYqmg,screen_view,HomeTab,PlusOnlyTab,17726,1695307049446000,2023-09-21 14:37:29.446000128
dvFjgBzQSu2S8De95BYqmg,screen_view,PlusOnlyTab,HomeTab,1855,1695307067173000,2023-09-21 14:37:47.172999936
dvFjgBzQSu2S8De95BYqmg,screen_view,HomeTab,PushHistory,3676,1695307069028000,2023-09-21 14:37:49.028000000
dvFjgBzQSu2S8De95BYqmg,screen_view,PushHistory,Player,30026,1695307072703000,2023-09-21 14:37:52.703000064
dvFjgBzQSu2S8De95BYqmg,screen_view,Player,PushHistory,17862,1695307102730000,2023-09-21 14:38:22.729999872
