auth_id,event_name,previous_screen_class,screen_class,use_time_msec,event_timestamp_w_timezone,fomatted_event_timestamp_w_timezone
mRY84FM1R7WFu8jDymW3eA,first_open,null,UIViewController,null,1695387998305000,2023-09-22 13:06:38.304999936
mRY84FM1R7WFu8jDymW3eA,user_engagement,null,UIViewController,1,1695387998305000,2023-09-22 13:06:38.304999936
mRY84FM1R7WFu8jDymW3eA,screen_view,null,UIViewController,null,1695387998456000,2023-09-22 13:06:38.456000000
mRY84FM1R7WFu8jDymW3eA,screen_view,UIViewController,UIViewController,null,1695387998487000,2023-09-22 13:06:38.487000064
mRY84FM1R7WFu8jDymW3eA,user_engagement,null,UIViewController,1672,1695388000239000,2023-09-22 13:06:40.239000064
mRY84FM1R7WFu8jDymW3eA,screen_view,UIViewController,Splash,null,1695388000239000,2023-09-22 13:06:40.239000064
mRY84FM1R7WFu8jDymW3eA,splash_visit,null,Splash,null,1695388000241000,2023-09-22 13:06:40.240999936
mRY84FM1R7WFu8jDymW3eA,screen_view,Splash,OnboardingFirst,null,1695388000253000,2023-09-22 13:06:40.252999936
mRY84FM1R7WFu8jDymW3eA,user_engagement,null,OnboardingFirst,234,1695388000474000,2023-09-22 13:06:40.473999872
mRY84FM1R7WFu8jDymW3eA,screen_view,OnboardingFirst,OnboardingLanguageSetting,null,1695388003288000,2023-09-22 13:06:43.288000000
mRY84FM1R7WFu8jDymW3eA,screen_view,OnboardingLanguageSetting,OnboardingKoreanOptions,null,1695388021265000,2023-09-22 13:07:01.264999936
mRY84FM1R7WFu8jDymW3eA,user_engagement,null,OnboardingLanguageSetting,18385,1695388021266000,2023-09-22 13:07:01.265999872
mRY84FM1R7WFu8jDymW3eA,screen_view,OnboardingKoreanOptions,HomeTab,null,1695388035894000,2023-09-22 13:07:15.894000128
mRY84FM1R7WFu8jDymW3eA,user_engagement,null,OnboardingKoreanOptions,14628,1695388035894000,2023-09-22 13:07:15.894000128
mRY84FM1R7WFu8jDymW3eA,user_engagement,null,HomeTab,36012,1695388071907010,2023-09-22 13:07:51.907010048
mRY84FM1R7WFu8jDymW3eA,screen_view,HomeTab,SnackUploaderList,null,1695388071907010,2023-09-22 13:07:51.907010048
mRY84FM1R7WFu8jDymW3eA,screen_view,SnackUploaderList,HomeTab,null,1695388078199010,2023-09-22 13:07:58.199010048
mRY84FM1R7WFu8jDymW3eA,user_engagement,null,SnackUploaderList,6292,1695388078200010,2023-09-22 13:07:58.200009984
mRY84FM1R7WFu8jDymW3eA,screen_view,HomeTab,PathTab,null,1695388122061020,2023-09-22 13:08:42.061019904
mRY84FM1R7WFu8jDymW3eA,user_engagement,null,HomeTab,43861,1695388122061020,2023-09-22 13:08:42.061019904
mRY84FM1R7WFu8jDymW3eA,path_tab_visit,null,PathTab,null,1695388123183020,2023-09-22 13:08:43.183020032
mRY84FM1R7WFu8jDymW3eA,screen_view,PathTab,SnackPlayer,null,1695388137447020,2023-09-22 13:08:57.447020032
mRY84FM1R7WFu8jDymW3eA,user_engagement,null,PathTab,15386,1695388137448020,2023-09-22 13:08:57.448019968
mRY84FM1R7WFu8jDymW3eA,path_tab_step_click,null,SnackPlayer,null,1695388137450020,2023-09-22 13:08:57.450020096
mRY84FM1R7WFu8jDymW3eA,screen_view,SnackPlayer,PathTab,null,1695388171642020,2023-09-22 13:09:31.642020096
mRY84FM1R7WFu8jDymW3eA,user_engagement,null,SnackPlayer,34194,1695388171642020,2023-09-22 13:09:31.642020096
mRY84FM1R7WFu8jDymW3eA,path_tab_visit,null,PathTab,null,1695388171644030,2023-09-22 13:09:31.644029952
mRY84FM1R7WFu8jDymW3eA,screen_view,PathTab,RCTModalHostViewController,null,1695388171676030,2023-09-22 13:09:31.676029952
mRY84FM1R7WFu8jDymW3eA,user_engagement,null,RCTModalHostViewController,7999,1695388179642030,2023-09-22 13:09:39.642030080
mRY84FM1R7WFu8jDymW3eA,screen_view,RCTModalHostViewController,UIViewController,null,1695388179643030,2023-09-22 13:09:39.643030016
mRY84FM1R7WFu8jDymW3eA,user_engagement,null,UIViewController,7607,1695388187249030,2023-09-22 13:09:47.249030144
mRY84FM1R7WFu8jDymW3eA,screen_view,UIViewController,SnackPlayer,null,1695388187249030,2023-09-22 13:09:47.249030144
mRY84FM1R7WFu8jDymW3eA,path_tab_step_click,null,SnackPlayer,null,1695388187252030,2023-09-22 13:09:47.252029952
mRY84FM1R7WFu8jDymW3eA,screen_view,SnackPlayer,PathTab,null,1695388223558040,2023-09-22 13:10:23.558040064
