,0mlBoXZHSLmWELx913rR9g,3tv6xAvjSiOBvn6Pi8LkGw,djaAx8sEQReRzImtd2sA3w,dvFjgBzQSu2S8De95BYqmg,ECvuummcQA-4GskntiAHtQ,JHRdQdJWQrmH65m7odosVw,mRY84FM1R7WFu8jDymW3eA,nPKbqr0XR0Kn8Jz8nj35Kw,ONG8kdYrQGqUP17PgZZFmA,SS_M7DvJTvKxIcNAt6rB5Q,UXtdCOPLTDaONmM-mk4e1A,VrVBdpn5QWOhPYOMZYjqBQ,W1_cjyfLSEqpecix7LdImQ,Wma7L57WQgGc-9ivrhoG4A,X89zKFz4QC-M5jwo1iLI4g
null-MainActivity-Splash,5.0,.,.,13.0,.,.,.,.,.,.,.,.,.,.,4.0
MainActivity-Splash-OnboardingFirst,1.0,.,.,2.0,.,.,.,.,.,.,.,.,.,.,1.0
Splash-OnboardingFirst-OnboardingLanguageSetting,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OnboardingFirst-OnboardingLanguageSetting-OnboardingKoreanOptions,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OnboardingLanguageSetting-OnboardingKoreanOptions-HomeTab,1.0,1.0,.,2.0,1.0,1.0,1.0,3.0,.,1.0,1.0,1.0,1.0,1.0,1.0
OnboardingKoreanOptions-HomeTab-MyTab,1.0,1.0,.,2.0,.,.,.,2.0,.,.,.,1.0,1.0,1.0,.
HomeTab-MyTab-SignInHubActivity,1.0,.,.,2.0,.,.,.,.,.,.,.,.,.,.,.
MyTab-SignInHubActivity-MainActivity,1.0,.,.,2.0,.,.,.,.,.,.,.,.,.,.,1.0
SignInHubActivity-MainActivity-Coupon,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
MainActivity-Splash-HomeTab,2.0,.,.,11.0,.,.,.,.,.,.,.,.,.,.,3.0
Splash-HomeTab-Coupon,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,1.0
Splash-HomeTab-CollectionQuiz,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
HomeTab-CollectionQuiz-HomeTab,2.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
CollectionQuiz-HomeTab-PathTab,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
HomeTab-PathTab-SnackPlayer,1.0,.,.,.,.,4.0,1.0,.,.,.,.,.,.,.,.
PathTab-SnackPlayer-PathTab,1.0,3.0,.,.,.,8.0,1.0,.,.,1.0,.,.,2.0,.,.
SnackPlayer-PathTab-CollectionQuiz,1.0,2.0,1.0,.,.,8.0,.,.,.,.,.,.,2.0,.,.
PathTab-CollectionQuiz-PathTab,1.0,7.0,36.0,.,.,25.0,.,.,.,.,.,.,8.0,.,.
CollectionQuiz-PathTab-PathTabPlayer,1.0,3.0,19.0,.,.,9.0,.,.,.,.,.,.,1.0,.,.
PathTab-PathTabPlayer-PathTab,1.0,5.0,59.0,.,.,12.0,.,.,.,.,.,.,6.0,.,.
PathTabPlayer-PathTab-ReviewTab,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PathTab-ReviewTab-HomeTab,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ReviewTab-HomeTab-CollectionQuiz,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
CollectionQuiz-HomeTab-MyTab,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
MainActivity-Splash-Player,2.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Splash-Player-null,1.0,.,.,.,.,1.0,.,.,.,.,.,.,.,.,.
null-UIViewController-UIViewController,.,9.0,5.0,.,4.0,3.0,2.0,4.0,5.0,1.0,3.0,3.0,7.0,1.0,.
UIViewController-UIViewController-Splash,.,9.0,4.0,.,3.0,3.0,2.0,4.0,5.0,1.0,3.0,3.0,6.0,1.0,.
UIViewController-Splash-OnboardingFirst,.,1.0,1.0,.,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,.
HomeTab-MyTab-RCTModalHostViewController,.,1.0,.,.,.,1.0,.,2.0,.,.,1.0,1.0,1.0,1.0,.
MyTab-RCTModalHostViewController-UIViewController,.,1.0,4.0,.,.,5.0,.,2.0,.,.,1.0,2.0,4.0,.,.
RCTModalHostViewController-UIViewController-Coupon,.,1.0,.,.,.,.,1.0,.,.,.,.,.,.,.,.
