,0mlBoXZHSLmWELx913rR9g,3tv6xAvjSiOBvn6Pi8LkGw,djaAx8sEQReRzImtd2sA3w,dvFjgBzQSu2S8De95BYqmg,ECvuummcQA-4GskntiAHtQ,JHRdQdJWQrmH65m7odosVw,mRY84FM1R7WFu8jDymW3eA,nPKbqr0XR0Kn8Jz8nj35Kw,ONG8kdYrQGqUP17PgZZFmA,SS_M7DvJTvKxIcNAt6rB5Q,UXtdCOPLTDaONmM-mk4e1A,VrVBdpn5QWOhPYOMZYjqBQ,W1_cjyfLSEqpecix7LdImQ,Wma7L57WQgGc-9ivrhoG4A,X89zKFz4QC-M5jwo1iLI4g
BadgeList-MyTab-HomeTab,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
BadgeList-MyTab-MyTabSetting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
BadgeList-MyTab-PlusOnlyTab,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
BadgeList-MyTab-RCTModalHostViewController,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
BadgeList-MyTab-ReviewTab,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
BadgeList-MyTab-Splash,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
BadgeList-MyTab-StreakResult,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
CollectionQuiz-CurriculumDetail-CollectionQuiz,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
CollectionQuiz-CurriculumDetail-Player,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
CollectionQuiz-CurriculumDetail-PlusOnlyTab,0,1.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0
CollectionQuiz-CurriculumDetail-null,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
CollectionQuiz-HomeTab-MyTab,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CollectionQuiz-HomeTab-PathTab,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CollectionQuiz-HomeTab-ReviewTab,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
CollectionQuiz-PathTab-CollectionQuiz,0,3.0,10.0,0,0,9.0,0,0,0,1.0,0,0,3.0,0,0
CollectionQuiz-PathTab-HomeTab,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
CollectionQuiz-PathTab-MyTab,0,0,4.0,0,0,2.0,0,0,0,0,0,0,1.0,0,0
CollectionQuiz-PathTab-PathTabPlayer,1.0,3.0,19.0,0,0,9.0,0,0,0,0,0,0,1.0,0,0
CollectionQuiz-PathTab-PushHistory,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
CollectionQuiz-PathTab-RCTModalHostViewController,0,0,3.0,0,0,3.0,0,0,0,0,0,0,2.0,0,0
CollectionQuiz-PathTab-ReviewTab,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
CollectionQuiz-PathTab-SnackPlayer,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0
CollectionQuiz-PathTab-StreakResult,0,1.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0
CollectionQuiz-Player-CollectionQuiz,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
CollectionQuiz-Player-PushHistory,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
CollectionQuiz-PushHistory-StreakResult,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
CollectionQuiz-RCTModalHostViewController-UIViewController,0,0,1.0,0,0,3.0,0,0,0,2.0,0,0,0,0,0
ContinuousPlayer-CurriculumDetail-CollectionQuiz,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
Coupon-Splash-HomeTab,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0
Coupon-Splash-PathTab,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0
Coupon-UIViewController-MyTab,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
Coupon-UIViewController-RCTModalHostViewController,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
Coupon-UIViewController-Splash,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
CurriculumDetail-CollectionQuiz-CurriculumDetail,0,1.0,0,4.0,0,0,0,0,0,0,1.0,0,0,0,0
CurriculumDetail-ContinuousPlayer-CurriculumDetail,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
CurriculumDetail-HomeTab-ReviewTab,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
CurriculumDetail-Player-CurriculumDetail,0,0,0,7.0,0,0,0,0,0,0,2.0,0,0,0,0
CurriculumDetail-Player-Player,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
CurriculumDetail-PlusOnlyTab-CurriculumDetail,0,0,0,6.0,0,0,0,0,0,0,0,1.0,0,0,0
